| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 2500 |   25 |       0.25 |1578608899362 |     429 |   510.0 |18,88 | mscp41.txt | 0,16 |
| 1 |  100 | 2500 |   25 |0.059366755 |1578608899362 |     429 |   448.0 | 4,43 | mscp41.txt |  2,6 |
| 1 |  200 | 2500 |   25 |0.061286002 |1578608899362 |     429 |   439.0 | 2,33 | mscp41.txt |  4,5 |
| 1 |  300 | 2500 |   25 | 0.05861047 |1578608899362 |     429 |   438.0 | 2,10 | mscp41.txt |  6,5 |
| 1 |  400 | 2500 |   25 |  0.0569395 |1578608899362 |     429 |   434.0 | 1,17 | mscp41.txt |  8,4 |
| 1 |  500 | 2500 |   25 |0.046981953 |1578608899362 |     429 |   433.0 | 0,93 | mscp41.txt |   10 |
| 1 |  600 | 2500 |   25 |0.045468323 |1578608899362 |     429 |   432.0 | 0,70 | mscp41.txt |   12 |
| 1 |  700 | 2500 |   25 | 0.04364959 |1578608899362 |     429 |   432.0 | 0,70 | mscp41.txt |   14 |
| 1 |  800 | 2500 |   25 |0.048222564 |1578608899362 |     429 |   432.0 | 0,70 | mscp41.txt |   16 |
| 1 |  900 | 2500 |   25 | 0.04895961 |1578608899362 |     429 |   432.0 | 0,70 | mscp41.txt |   18 |
| 1 | 1000 | 2500 |   25 | 0.04941682 |1578608899362 |     429 |   432.0 | 0,70 | mscp41.txt |   20 |
| 1 | 1100 | 2500 |   25 |0.045290943 |1578608899362 |     429 |   432.0 | 0,70 | mscp41.txt |   22 |
| 1 | 1200 | 2500 |   25 |0.049969714 |1578608899362 |     429 |   432.0 | 0,70 | mscp41.txt |   24 |
| 1 | 1300 | 2500 |   25 |0.042497832 |1578608899362 |     429 |   432.0 | 0,70 | mscp41.txt |   25 |
| 1 | 1400 | 2500 |   25 |0.044681463 |1578608899362 |     429 |   432.0 | 0,70 | mscp41.txt |   27 |
| 1 | 1500 | 2500 |   25 | 0.04477612 |1578608899362 |     429 |   432.0 | 0,70 | mscp41.txt |   29 |
| 1 | 1600 | 2500 |   25 | 0.04382353 |1578608899362 |     429 |   429.0 | 0,00 | mscp41.txt |   31 |
| 1 | 1700 | 2500 |   25 | 0.04317841 |1578608899362 |     429 |   429.0 | 0,00 | mscp41.txt |   33 |
| 1 | 1800 | 2500 |   25 |0.041046996 |1578608899362 |     429 |   429.0 | 0,00 | mscp41.txt |   35 |
| 1 | 1900 | 2500 |   25 | 0.04470447 |1578608899362 |     429 |   429.0 | 0,00 | mscp41.txt |   36 |
