| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 3000 |   30 |       0.25 |1578632362456 |     236 |   357.0 |51,27 | mscpa5.txt |0,092 |
| 1 |  100 | 3000 |   30 | 0.02994959 |1578632362456 |     236 |   309.0 |30,93 | mscpa5.txt |  7,6 |
| 1 |  200 | 3000 |   30 |0.034157954 |1578632362456 |     236 |   281.0 |19,07 | mscpa5.txt |   15 |
| 1 |  300 | 3000 |   30 |0.036765486 |1578632362456 |     236 |   274.0 |16,10 | mscpa5.txt |   22 |
| 1 |  400 | 3000 |   30 | 0.03646694 |1578632362456 |     236 |   266.0 |12,71 | mscpa5.txt |   30 |
| 1 |  500 | 3000 |   30 |0.035339646 |1578632362456 |     236 |   260.0 |10,17 | mscpa5.txt |   37 |
| 1 |  600 | 3000 |   30 | 0.03161743 |1578632362456 |     236 |   256.0 | 8,47 | mscpa5.txt |   45 |
| 1 |  700 | 3000 |   30 |0.030297145 |1578632362456 |     236 |   248.0 | 5,08 | mscpa5.txt |   52 |
| 1 |  800 | 3000 |   30 |0.027769824 |1578632362456 |     236 |   248.0 | 5,08 | mscpa5.txt |   60 |
| 1 |  900 | 3000 |   30 |0.022718703 |1578632362456 |     236 |   248.0 | 5,08 | mscpa5.txt |   67 |
| 1 | 1000 | 3000 |   30 |0.021436024 |1578632362456 |     236 |   243.0 | 2,97 | mscpa5.txt |   74 |
| 1 | 1100 | 3000 |   30 |0.024171205 |1578632362456 |     236 |   243.0 | 2,97 | mscpa5.txt |   82 |
| 1 | 1200 | 3000 |   30 |0.027114967 |1578632362456 |     236 |   240.0 | 1,69 | mscpa5.txt |   89 |
| 1 | 1300 | 3000 |   30 | 0.02632092 |1578632362456 |     236 |   240.0 | 1,69 | mscpa5.txt |   96 |
| 1 | 1400 | 3000 |   30 |0.022405772 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,0e+02 |
| 1 | 1500 | 3000 |   30 |0.026990158 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,1e+02 |
| 1 | 1600 | 3000 |   30 |0.024321431 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,2e+02 |
| 1 | 1700 | 3000 |   30 | 0.02488381 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,2e+02 |
| 1 | 1800 | 3000 |   30 |0.022690438 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,3e+02 |
| 1 | 1900 | 3000 |   30 |0.022754826 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,4e+02 |
| 1 | 2000 | 3000 |   30 |0.021288516 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,5e+02 |
| 1 | 2100 | 3000 |   30 |0.022501161 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,5e+02 |
| 1 | 2200 | 3000 |   30 |0.021571362 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,6e+02 |
| 1 | 2300 | 3000 |   30 |0.021588067 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,7e+02 |
| 1 | 2400 | 3000 |   30 | 0.02112676 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,7e+02 |
| 1 | 2500 | 3000 |   30 |0.020594755 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,8e+02 |
| 1 | 2600 | 3000 |   30 |0.021793565 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |1,9e+02 |
| 1 | 2700 | 3000 |   30 |0.021793565 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |2,0e+02 |
| 1 | 2800 | 3000 |   30 |0.021793565 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |2,0e+02 |
| 1 | 2900 | 3000 |   30 |0.021826852 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |2,1e+02 |
| 1 | 3000 | 3000 |   30 |0.021826852 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |2,2e+02 |
| 1 |  300 | 3000 |   30 |0.021826852 |1578632362456 |     236 |   237.0 | 0,42 | mscpa5.txt |2,2e+02 |
| 2 |    1 | 3000 |   30 |       0.25 |1578632579325 |     236 |   352.0 |49,15 | mscpa5.txt |0,090 |
| 2 |  100 | 3000 |   30 |0.038275044 |1578632579325 |     236 |   303.0 |28,39 | mscpa5.txt |  7,2 |
| 2 |  200 | 3000 |   30 |0.038802546 |1578632579325 |     236 |   290.0 |22,88 | mscpa5.txt |   14 |
| 2 |  300 | 3000 |   30 |0.037832838 |1578632579325 |     236 |   282.0 |19,49 | mscpa5.txt |   22 |
| 2 |  400 | 3000 |   30 |0.039167818 |1578632579325 |     236 |   276.0 |16,95 | mscpa5.txt |   29 |
| 2 |  500 | 3000 |   30 |0.040822785 |1578632579325 |     236 |   266.0 |12,71 | mscpa5.txt |   37 |
| 2 |  600 | 3000 |   30 |0.040993918 |1578632579325 |     236 |   266.0 |12,71 | mscpa5.txt |   44 |
| 2 |  700 | 3000 |   30 | 0.03942357 |1578632579325 |     236 |   254.0 | 7,63 | mscpa5.txt |   53 |
