| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 3000 |   30 |       0.25 |1578639259261 |      72 |  1810.0 |2413,89 | mscpb5.txt |0,0050 |
| 1 |  100 | 3000 |   30 |0.014033681 |1578639259261 |      72 |   121.0 |68,06 | mscpb5.txt |  1,7 |
| 1 |  200 | 3000 |   30 |0.014043348 |1578639259261 |      72 |   121.0 |68,06 | mscpb5.txt |  3,8 |
| 1 |  300 | 3000 |   30 |0.020272695 |1578639259261 |      72 |    87.0 |20,83 | mscpb5.txt |  8,5 |
| 1 |  400 | 3000 |   30 |0.030387014 |1578639259261 |      72 |    84.0 |16,67 | mscpb5.txt |   15 |
| 1 |  500 | 3000 |   30 | 0.03773585 |1578639259261 |      72 |    84.0 |16,67 | mscpb5.txt |   23 |
| 1 |  600 | 3000 |   30 |0.038251366 |1578639259261 |      72 |    84.0 |16,67 | mscpb5.txt |   30 |
| 1 |  700 | 3000 |   30 | 0.03810912 |1578639259261 |      72 |    84.0 |16,67 | mscpb5.txt |   37 |
| 1 |  800 | 3000 |   30 | 0.03396072 |1578639259261 |      72 |    84.0 |16,67 | mscpb5.txt |   44 |
| 1 |  900 | 3000 |   30 |0.031212606 |1578639259261 |      72 |    84.0 |16,67 | mscpb5.txt |   52 |
| 1 | 1000 | 3000 |   30 |0.033177286 |1578639259261 |      72 |    80.0 |11,11 | mscpb5.txt |   59 |
| 1 | 1100 | 3000 |   30 |0.031346403 |1578639259261 |      72 |    76.0 | 5,56 | mscpb5.txt |   67 |
| 1 | 1200 | 3000 |   30 |0.032267854 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |   75 |
| 1 | 1300 | 3000 |   30 |0.030948708 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |   82 |
| 1 | 1400 | 3000 |   30 |0.031811085 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |   90 |
| 1 | 1500 | 3000 |   30 |0.033525094 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |   98 |
| 1 | 1600 | 3000 |   30 |0.032675892 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,1e+02 |
| 1 | 1700 | 3000 |   30 |0.032813124 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,1e+02 |
| 1 | 1800 | 3000 |   30 |0.032988872 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,2e+02 |
| 1 | 1900 | 3000 |   30 |0.034820892 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,3e+02 |
| 1 | 2000 | 3000 |   30 |0.035136756 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,4e+02 |
| 1 | 2100 | 3000 |   30 |0.035841566 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,5e+02 |
| 1 | 2200 | 3000 |   30 |0.035841566 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,6e+02 |
| 1 | 2300 | 3000 |   30 | 0.03551251 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,6e+02 |
| 1 | 2400 | 3000 |   30 |0.035802104 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,7e+02 |
| 1 | 2500 | 3000 |   30 |  0.0346082 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,8e+02 |
| 1 | 2600 | 3000 |   30 |0.034151547 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |1,9e+02 |
| 1 | 2700 | 3000 |   30 |0.034689922 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |2,0e+02 |
| 1 | 2800 | 3000 |   30 |0.031615704 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |2,1e+02 |
| 1 | 2900 | 3000 |   30 | 0.03255726 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |2,1e+02 |
| 1 | 3000 | 3000 |   30 |0.030265655 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |2,2e+02 |
| 1 |  300 | 3000 |   30 |0.030265655 |1578639259261 |      72 |    74.0 | 2,78 | mscpb5.txt |2,2e+02 |
| 2 |    1 | 3000 |   30 |       0.25 |1578639482232 |      72 |  1680.0 |2233,33 | mscpb5.txt |0,0040 |
| 2 |  100 | 3000 |   30 |0.015692554 |1578639482232 |      72 |   115.0 |59,72 | mscpb5.txt |  2,1 |
| 2 |  200 | 3000 |   30 |0.017967727 |1578639482232 |      72 |   103.0 |43,06 | mscpb5.txt |  6,0 |
| 2 |  300 | 3000 |   30 |0.019695379 |1578639482232 |      72 |    97.0 |34,72 | mscpb5.txt |   12 |
| 2 |  400 | 3000 |   30 |0.024981963 |1578639482232 |      72 |    87.0 |20,83 | mscpb5.txt |   19 |
| 2 |  500 | 3000 |   30 |0.026282629 |1578639482232 |      72 |    87.0 |20,83 | mscpb5.txt |   26 |
| 2 |  600 | 3000 |   30 |0.024500497 |1578639482232 |      72 |    87.0 |20,83 | mscpb5.txt |   34 |
| 2 |  700 | 3000 |   30 |0.024303392 |1578639482232 |      72 |    87.0 |20,83 | mscpb5.txt |   41 |
| 2 |  800 | 3000 |   30 |0.024170782 |1578639482232 |      72 |    84.0 |16,67 | mscpb5.txt |   49 |
| 2 |  900 | 3000 |   30 |0.024683712 |1578639482232 |      72 |    81.0 |12,50 | mscpb5.txt |   57 |
| 2 | 1000 | 3000 |   30 |0.024632288 |1578639482232 |      72 |    81.0 |12,50 | mscpb5.txt |   64 |
| 2 | 1100 | 3000 |   30 |0.023595994 |1578639482232 |      72 |    81.0 |12,50 | mscpb5.txt |   71 |
| 2 | 1200 | 3000 |   30 |0.023193816 |1578639482232 |      72 |    81.0 |12,50 | mscpb5.txt |   79 |
| 2 | 1300 | 3000 |   30 |0.021854132 |1578639482232 |      72 |    81.0 |12,50 | mscpb5.txt |   87 |
| 2 | 1400 | 3000 |   30 |0.021852773 |1578639482232 |      72 |    78.0 | 8,33 | mscpb5.txt |   95 |
| 2 | 1500 | 3000 |   30 |0.020565335 |1578639482232 |      72 |    77.0 | 6,94 | mscpb5.txt |1,0e+02 |
| 2 | 1600 | 3000 |   30 |0.021105953 |1578639482232 |      72 |    77.0 | 6,94 | mscpb5.txt |1,1e+02 |
| 2 | 1700 | 3000 |   30 |   0.023211 |1578639482232 |      72 |    77.0 | 6,94 | mscpb5.txt |1,2e+02 |
| 2 | 1800 | 3000 |   30 |0.020985011 |1578639482232 |      72 |    77.0 | 6,94 | mscpb5.txt |1,3e+02 |
| 2 | 1900 | 3000 |   30 |0.021143103 |1578639482232 |      72 |    77.0 | 6,94 | mscpb5.txt |1,3e+02 |
| 2 | 2000 | 3000 |   30 |0.022770895 |1578639482232 |      72 |    75.0 | 4,17 | mscpb5.txt |1,4e+02 |
| 2 | 2100 | 3000 |   30 |0.020276656 |1578639482232 |      72 |    75.0 | 4,17 | mscpb5.txt |1,5e+02 |
| 2 | 2200 | 3000 |   30 |0.017352132 |1578639482232 |      72 |    73.0 | 1,39 | mscpb5.txt |1,6e+02 |
| 2 | 2300 | 3000 |   30 |0.018026328 |1578639482232 |      72 |    73.0 | 1,39 | mscpb5.txt |1,7e+02 |
| 2 | 2400 | 3000 |   30 |0.018267874 |1578639482232 |      72 |    73.0 | 1,39 | mscpb5.txt |1,7e+02 |
| 2 | 2500 | 3000 |   30 |0.016398847 |1578639482232 |      72 |    73.0 | 1,39 | mscpb5.txt |1,8e+02 |
| 2 | 2600 | 3000 |   30 | 0.01819358 |1578639482232 |      72 |    73.0 | 1,39 | mscpb5.txt |1,9e+02 |
| 2 |  300 | 3000 |   30 | 0.01819358 |1578639482232 |      72 |    72.0 | 0,00 | mscpb5.txt |1,9e+02 |
| 3 |    1 | 3000 |   30 |       0.25 |1578639672740 |      72 |   119.0 |65,28 | mscpb5.txt |0,0050 |
