| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 3000 |   30 |       0.25 |1578644622687 |     215 |   371.0 |72,56 | mscpc5.txt | 0,14 |
| 1 |  100 | 3000 |   30 |0.011366073 |1578644622687 |     215 |   309.0 |43,72 | mscpc5.txt |   14 |
| 1 |  200 | 3000 |   30 |0.008949334 |1578644622687 |     215 |   291.0 |35,35 | mscpc5.txt |   29 |
| 1 |  300 | 3000 |   30 |0.006802721 |1578644622687 |     215 |   277.0 |28,84 | mscpc5.txt |   43 |
| 1 |  400 | 3000 |   30 |0.007964362 |1578644622687 |     215 |   260.0 |20,93 | mscpc5.txt |   58 |
| 1 |  500 | 3000 |   30 |0.0067321565 |1578644622687 |     215 |   260.0 |20,93 | mscpc5.txt |   73 |
| 1 |  600 | 3000 |   30 |0.0074175824 |1578644622687 |     215 |   257.0 |19,53 | mscpc5.txt |   87 |
| 1 |  700 | 3000 |   30 |0.007079765 |1578644622687 |     215 |   257.0 |19,53 | mscpc5.txt |1,0e+02 |
| 1 |  800 | 3000 |   30 |0.0062334216 |1578644622687 |     215 |   253.0 |17,67 | mscpc5.txt |1,2e+02 |
| 1 |  900 | 3000 |   30 |0.007278798 |1578644622687 |     215 |   253.0 |17,67 | mscpc5.txt |1,3e+02 |
| 1 | 1000 | 3000 |   30 |0.0042680893 |1578644622687 |     215 |   252.0 |17,21 | mscpc5.txt |1,5e+02 |
| 1 | 1100 | 3000 |   30 |0.006803175 |1578644622687 |     215 |   249.0 |15,81 | mscpc5.txt |1,6e+02 |
| 1 | 1200 | 3000 |   30 |0.006063837 |1578644622687 |     215 |   247.0 |14,88 | mscpc5.txt |1,8e+02 |
| 1 | 1300 | 3000 |   30 |0.009066843 |1578644622687 |     215 |   242.0 |12,56 | mscpc5.txt |1,9e+02 |
| 1 | 1400 | 3000 |   30 |0.0070254505 |1578644622687 |     215 |   242.0 |12,56 | mscpc5.txt |2,1e+02 |
| 1 | 1500 | 3000 |   30 |0.0069690994 |1578644622687 |     215 |   242.0 |12,56 | mscpc5.txt |2,2e+02 |
| 1 | 1600 | 3000 |   30 |0.0051600263 |1578644622687 |     215 |   239.0 |11,16 | mscpc5.txt |2,4e+02 |
| 1 | 1700 | 3000 |   30 |  0.0051661 |1578644622687 |     215 |   239.0 |11,16 | mscpc5.txt |2,5e+02 |
| 1 | 1800 | 3000 |   30 |0.0060792263 |1578644622687 |     215 |   236.0 | 9,77 | mscpc5.txt |2,7e+02 |
| 1 | 1900 | 3000 |   30 |0.0053416714 |1578644622687 |     215 |   236.0 | 9,77 | mscpc5.txt |2,8e+02 |
| 1 | 2000 | 3000 |   30 |0.0057086614 |1578644622687 |     215 |   234.0 | 8,84 | mscpc5.txt |3,0e+02 |
| 1 | 2100 | 3000 |   30 |0.0036408557 |1578644622687 |     215 |   233.0 | 8,37 | mscpc5.txt |3,1e+02 |
| 1 | 2200 | 3000 |   30 |0.0064879744 |1578644622687 |     215 |   233.0 | 8,37 | mscpc5.txt |3,3e+02 |
| 1 | 2300 | 3000 |   30 |0.0052308096 |1578644622687 |     215 |   231.0 | 7,44 | mscpc5.txt |3,4e+02 |
| 1 | 2400 | 3000 |   30 |0.005675517 |1578644622687 |     215 |   231.0 | 7,44 | mscpc5.txt |3,6e+02 |
| 1 | 2500 | 3000 |   30 |0.0054218033 |1578644622687 |     215 |   228.0 | 6,05 | mscpc5.txt |3,7e+02 |
| 1 | 2600 | 3000 |   30 |  0.0042441 |1578644622687 |     215 |   227.0 | 5,58 | mscpc5.txt |3,9e+02 |
| 1 | 2700 | 3000 |   30 |0.0048306067 |1578644622687 |     215 |   225.0 | 4,65 | mscpc5.txt |4,0e+02 |
| 1 | 2800 | 3000 |   30 |0.0047585363 |1578644622687 |     215 |   225.0 | 4,65 | mscpc5.txt |4,2e+02 |
| 1 | 2900 | 3000 |   30 |0.005148668 |1578644622687 |     215 |   224.0 | 4,19 | mscpc5.txt |4,3e+02 |
