| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 | 1000 | 3000 |   55 |0.090996966 |1578688049194 |     514 |   516.0 | 0,39 |mscp410.txt |   45 |
| 1 | 1100 | 3000 |   55 | 0.09583451 |1578688049194 |     514 |   516.0 | 0,39 |mscp410.txt |   51 |
| 1 | 2100 | 3000 |   55 |0.086088054 |1578688316323 |     514 |   517.0 | 0,58 |mscp410.txt |   87 |
| 1 | 2200 | 3000 |   55 |0.085079454 |1578688316323 |     514 |   517.0 | 0,58 |mscp410.txt |   93 |
| 1 | 2300 | 3000 |   55 | 0.08515916 |1578688316323 |     514 |   517.0 | 0,58 |mscp410.txt |   99 |
| 1 | 2400 | 3000 |   55 | 0.08415166 |1578688316323 |     514 |   517.0 | 0,58 |mscp410.txt |1,0e+02 |
| 1 | 2000 | 3000 |   55 | 0.07439678 |1578688695305 |     514 |   518.0 | 0,78 |mscp410.txt |   78 |
| 1 | 2100 | 3000 |   55 | 0.07391361 |1578688695305 |     514 |   518.0 | 0,78 |mscp410.txt |   84 |
| 1 | 2200 | 3000 |   55 | 0.07237682 |1578688695305 |     514 |   515.0 | 0,19 |mscp410.txt |   90 |
| 1 | 2300 | 3000 |   55 | 0.07127122 |1578688695305 |     514 |   515.0 | 0,19 |mscp410.txt |   95 |
| 1 | 2000 | 3000 |   55 | 0.07428115 |1578688898151 |     514 |   516.0 | 0,39 |mscp410.txt |   89 |
| 1 | 2100 | 3000 |   55 | 0.07038513 |1578688898151 |     514 |   516.0 | 0,39 |mscp410.txt |   95 |
| 1 | 2200 | 3000 |   55 |    0.07222 |1578688898151 |     514 |   516.0 | 0,39 |mscp410.txt |1,0e+02 |
| 1 | 2300 | 3000 |   55 |0.074852705 |1578688898151 |     514 |   516.0 | 0,39 |mscp410.txt |1,1e+02 |
| 1 | 2000 | 3000 |   55 | 0.11819198 |1578689125447 |     514 |   518.0 | 0,78 |mscp410.txt |   76 |
| 1 | 2100 | 3000 |   55 |     0.1125 |1578689125447 |     514 |   518.0 | 0,78 |mscp410.txt |   82 |
| 1 | 2200 | 3000 |   55 | 0.10995172 |1578689125447 |     514 |   518.0 | 0,78 |mscp410.txt |   87 |
| 1 | 2300 | 3000 |   55 | 0.11029869 |1578689125447 |     514 |   518.0 | 0,78 |mscp410.txt |   93 |
| 3 | 1800 | 3000 |   55 | 0.09037328 |1578689283413 |     514 |   515.0 | 0,19 |mscp410.txt |   72 |
| 3 | 1900 | 3000 |   55 | 0.08967733 |1578689283413 |     514 |   515.0 | 0,19 |mscp410.txt |   79 |
| 3 | 2000 | 3000 |   55 | 0.08821493 |1578689283413 |     514 |   515.0 | 0,19 |mscp410.txt |   84 |
| 3 | 2100 | 3000 |   55 | 0.08895836 |1578689283413 |     514 |   515.0 | 0,19 |mscp410.txt |   90 |
| 1 | 2000 | 3000 |   55 |0.055883512 |1578690086678 |     514 |   516.0 | 0,39 |mscp410.txt |   78 |
| 1 | 2100 | 3000 |   55 |0.045402806 |1578690086678 |     514 |   516.0 | 0,39 |mscp410.txt |   85 |
| 1 | 2200 | 3000 |   55 |0.046074223 |1578690086678 |     514 |   516.0 | 0,39 |mscp410.txt |   91 |
| 1 | 2300 | 3000 |   55 |0.072377406 |1578690086678 |     514 |   515.0 | 0,19 |mscp410.txt |   97 |
| 2 | 2100 | 3000 |   55 |0.053606804 |1578690218437 |     514 |   516.0 | 0,39 |mscp410.txt |   92 |
| 2 | 2200 | 3000 |   55 |0.061210293 |1578690218437 |     514 |   516.0 | 0,39 |mscp410.txt |1,0e+02 |
| 2 | 2300 | 3000 |   55 | 0.06393442 |1578690218437 |     514 |   516.0 | 0,39 |mscp410.txt |1,1e+02 |
| 2 | 2400 | 3000 |   55 | 0.05250404 |1578690218437 |     514 |   516.0 | 0,39 |mscp410.txt |1,2e+02 |
| 1 | 2000 | 3000 |   55 | 0.41639262 |1578690524825 |     514 |   517.0 | 0,58 |mscp410.txt |   84 |
| 1 | 2100 | 3000 |   55 | 0.42641947 |1578690524825 |     514 |   516.0 | 0,39 |mscp410.txt |   90 |
| 1 | 2200 | 3000 |   55 | 0.41183177 |1578690524825 |     514 |   516.0 | 0,39 |mscp410.txt |   96 |
| 1 | 2300 | 3000 |   55 |  0.4055918 |1578690524825 |     514 |   516.0 | 0,39 |mscp410.txt |1,0e+02 |
| 1 | 2000 | 3000 |   55 | 0.43772092 |1578690689103 |     514 |   518.0 | 0,78 |mscp410.txt |   77 |
| 1 | 2100 | 3000 |   55 | 0.36221936 |1578690689103 |     514 |   518.0 | 0,78 |mscp410.txt |   83 |
| 1 | 2200 | 3000 |   55 |  0.3602458 |1578690689103 |     514 |   518.0 | 0,78 |mscp410.txt |   89 |
| 1 | 2300 | 3000 |   55 |  0.3641493 |1578690689103 |     514 |   518.0 | 0,78 |mscp410.txt |   94 |
| 1 | 2000 | 3000 |   55 | 0.37090132 |1578690903435 |     514 |   518.0 | 0,78 |mscp410.txt |   86 |
| 1 | 2100 | 3000 |   55 | 0.42136416 |1578690903435 |     514 |   517.0 | 0,58 |mscp410.txt |   93 |
| 1 | 2200 | 3000 |   55 |  0.3806137 |1578690903435 |     514 |   517.0 | 0,58 |mscp410.txt |1,0e+02 |
| 1 | 2300 | 3000 |   55 | 0.35675877 |1578690903435 |     514 |   517.0 | 0,58 |mscp410.txt |1,1e+02 |
| 2 | 2000 | 3000 |   55 |  0.2884205 |1578691192443 |     514 |   518.0 | 0,78 |mscp410.txt |   82 |
| 2 | 2100 | 3000 |   55 | 0.28893965 |1578691192443 |     514 |   518.0 | 0,78 |mscp410.txt |   88 |
| 2 | 2200 | 3000 |   55 | 0.29429027 |1578691192443 |     514 |   518.0 | 0,78 |mscp410.txt |   95 |
| 2 | 2300 | 3000 |   55 | 0.28824002 |1578691192443 |     514 |   518.0 | 0,78 |mscp410.txt |1,0e+02 |
