| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 3000 |   30 |       0.25 |1578704651962 |     236 |   351.0 |48,73 | mscpa5.txt |0,094 |
| 1 |  100 | 3000 |   30 | 0.27843308 |1578704651962 |     236 |   301.0 |27,54 | mscpa5.txt |  7,5 |
| 1 |  200 | 3000 |   30 | 0.23694241 |1578704651962 |     236 |   282.0 |19,49 | mscpa5.txt |   15 |
| 1 |  300 | 3000 |   30 | 0.24394268 |1578704651962 |     236 |   274.0 |16,10 | mscpa5.txt |   23 |
| 1 |  400 | 3000 |   30 |  0.2569049 |1578704651962 |     236 |   264.0 |11,86 | mscpa5.txt |   30 |
| 2 |    1 | 3000 |   30 |       0.25 |1578705209594 |     236 |   364.0 |54,24 | mscpa5.txt | 0,11 |
| 2 |  100 | 3000 |   30 | 0.22111839 |1578705209594 |     236 |   298.0 |26,27 | mscpa5.txt |  7,6 |
| 2 |  200 | 3000 |   30 |   0.330006 |1578705209594 |     236 |   289.0 |22,46 | mscpa5.txt |   15 |
| 3 |    1 | 3000 |   30 |       0.25 |1578705902001 |     236 |   352.0 |49,15 | mscpa5.txt |0,097 |
| 3 |  100 | 3000 |   30 | 0.22142932 |1578705902001 |     236 |   307.0 |30,08 | mscpa5.txt |  7,3 |
| 3 |  200 | 3000 |   30 | 0.21081632 |1578705902001 |     236 |   290.0 |22,88 | mscpa5.txt |   15 |
| 3 |  300 | 3000 |   30 | 0.19883452 |1578705902001 |     236 |   273.0 |15,68 | mscpa5.txt |   22 |
| 3 |  400 | 3000 |   30 | 0.28010824 |1578705902001 |     236 |   269.0 |13,98 | mscpa5.txt |   29 |
| 4 |    1 | 3000 |   30 |       0.25 |1578706509864 |     236 |   330.0 |39,83 | mscpa5.txt |0,098 |
| 4 |  100 | 3000 |   30 | 0.21343791 |1578706509864 |     236 |   311.0 |31,78 | mscpa5.txt |  7,4 |
| 4 |  200 | 3000 |   30 | 0.30045962 |1578706509864 |     236 |   291.0 |23,31 | mscpa5.txt |   15 |
| 5 |    1 | 3000 |   30 |       0.25 |1578707285731 |     236 |   368.0 |55,93 | mscpa5.txt | 0,10 |
| 5 |  100 | 3000 |   30 | 0.24966858 |1578707285731 |     236 |   288.0 |22,03 | mscpa5.txt |  7,6 |
| 5 |  200 | 3000 |   30 |  0.2236801 |1578707285731 |     236 |   281.0 |19,07 | mscpa5.txt |   15 |
| 5 |  300 | 3000 |   30 | 0.20478724 |1578707285731 |     236 |   269.0 |13,98 | mscpa5.txt |   23 |
| 5 |  400 | 3000 |   30 | 0.22730139 |1578707285731 |     236 |   261.0 |10,59 | mscpa5.txt |   30 |
| 6 |    1 | 3000 |   30 |       0.25 |1578707973201 |     236 |   368.0 |55,93 | mscpa5.txt |0,092 |
| 6 |  100 | 3000 |   30 |  0.2592268 |1578707973201 |     236 |   324.0 |37,29 | mscpa5.txt |  7,2 |
| 6 |  200 | 3000 |   30 | 0.20223351 |1578707973201 |     236 |   324.0 |37,29 | mscpa5.txt |   14 |
| 7 |    1 | 3000 |   30 |       0.25 |1578708409479 |     236 |   390.0 |65,25 | mscpa5.txt |0,093 |
| 7 |  100 | 3000 |   30 |  0.2311828 |1578708409479 |     236 |   293.0 |24,15 | mscpa5.txt |  7,1 |
| 7 |  200 | 3000 |   30 |  0.2376729 |1578708409479 |     236 |   281.0 |19,07 | mscpa5.txt |   14 |
| 8 |    1 | 3000 |   30 |       0.25 |1578708581791 |     236 |   362.0 |53,39 | mscpa5.txt |0,095 |
| 8 |  100 | 3000 |   30 | 0.22273856 |1578708581791 |     236 |   312.0 |32,20 | mscpa5.txt |  7,0 |
| 8 |  200 | 3000 |   30 |  0.2246822 |1578708581791 |     236 |   296.0 |25,42 | mscpa5.txt |   14 |
