| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 | 1200 | 3000 |   30 |       0.25 |1579539773421 |      28 |    30.0 | 7,14 |mscpnre5.txt |4,9e+02 |
| 1 | 1300 | 3000 |   30 |       0.25 |1579539773421 |      28 |    30.0 | 7,14 |mscpnre5.txt |5,7e+02 |
| 1 | 1400 | 3000 |   30 |       0.25 |1579539773421 |      28 |    30.0 | 7,14 |mscpnre5.txt |6,4e+02 |
| 1 | 1500 | 3000 |   30 |       0.25 |1579539773421 |      28 |    30.0 | 7,14 |mscpnre5.txt |7,0e+02 |
| 2 | 1100 | 3000 |   30 | 0.06666667 |1579541968081 |      28 |    29.0 | 3,57 |mscpnre5.txt |3,5e+02 |
| 2 | 1200 | 3000 |   30 | 0.06666667 |1579541968081 |      28 |    29.0 | 3,57 |mscpnre5.txt |4,1e+02 |
| 2 | 1300 | 3000 |   30 | 0.06666667 |1579541968081 |      28 |    29.0 | 3,57 |mscpnre5.txt |4,7e+02 |
| 2 | 1400 | 3000 |   30 | 0.06666667 |1579541968081 |      28 |    29.0 | 3,57 |mscpnre5.txt |5,3e+02 |
| 3 | 1300 | 3000 |   30 | 0.13333334 |1579543842891 |      28 |    30.0 | 7,14 |mscpnre5.txt |3,5e+02 |
| 3 | 1400 | 3000 |   30 | 0.13333334 |1579543842891 |      28 |    30.0 | 7,14 |mscpnre5.txt |4,0e+02 |
| 3 | 1500 | 3000 |   30 | 0.13333334 |1579543842891 |      28 |    30.0 | 7,14 |mscpnre5.txt |4,6e+02 |
| 3 | 1600 | 3000 |   30 | 0.13333334 |1579543842891 |      28 |    30.0 | 7,14 |mscpnre5.txt |5,2e+02 |
| 4 | 1100 | 3000 |   30 |0.033333335 |1579545513368 |      28 |    29.0 | 3,57 |mscpnre5.txt |3,9e+02 |
| 4 | 1200 | 3000 |   30 |0.033333335 |1579545513368 |      28 |    29.0 | 3,57 |mscpnre5.txt |4,5e+02 |
| 4 | 1300 | 3000 |   30 |0.033333335 |1579545513368 |      28 |    29.0 | 3,57 |mscpnre5.txt |5,1e+02 |
| 4 | 1400 | 3000 |   30 |0.033333335 |1579545513368 |      28 |    29.0 | 3,57 |mscpnre5.txt |5,7e+02 |
| 5 | 1500 | 3000 |   30 |0.033333335 |1579547447142 |      28 |    29.0 | 3,57 |mscpnre5.txt |3,8e+02 |
| 5 | 1600 | 3000 |   30 |0.033333335 |1579547447142 |      28 |    29.0 | 3,57 |mscpnre5.txt |4,4e+02 |
| 5 | 1700 | 3000 |   30 |0.033333335 |1579547447142 |      28 |    29.0 | 3,57 |mscpnre5.txt |5,0e+02 |
| 5 | 1800 | 3000 |   30 |0.033333335 |1579547447142 |      28 |    29.0 | 3,57 |mscpnre5.txt |5,6e+02 |
| 6 | 1300 | 3000 |   30 |0.033333335 |1579548977147 |      28 |    30.0 | 7,14 |mscpnre5.txt |3,7e+02 |
| 6 | 1400 | 3000 |   30 |0.033333335 |1579548977147 |      28 |    30.0 | 7,14 |mscpnre5.txt |4,4e+02 |
| 6 | 1500 | 3000 |   30 |0.033333335 |1579548977147 |      28 |    30.0 | 7,14 |mscpnre5.txt |5,0e+02 |
| 6 | 1600 | 3000 |   30 |0.033333335 |1579548977147 |      28 |    30.0 | 7,14 |mscpnre5.txt |5,6e+02 |
| 7 | 1100 | 3000 |   30 | 0.13333334 |1579550933225 |      28 |    30.0 | 7,14 |mscpnre5.txt |3,5e+02 |
| 7 | 1200 | 3000 |   30 | 0.13333334 |1579550933225 |      28 |    30.0 | 7,14 |mscpnre5.txt |4,1e+02 |
| 7 | 1300 | 3000 |   30 | 0.13333334 |1579550933225 |      28 |    30.0 | 7,14 |mscpnre5.txt |4,7e+02 |
| 7 | 1400 | 3000 |   30 | 0.13333334 |1579550933225 |      28 |    30.0 | 7,14 |mscpnre5.txt |5,2e+02 |
| 8 | 1300 | 3000 |   30 |0.033333335 |1579552862922 |      28 |    30.0 | 7,14 |mscpnre5.txt |4,3e+02 |
| 8 | 1400 | 3000 |   30 |0.033333335 |1579552862922 |      28 |    30.0 | 7,14 |mscpnre5.txt |4,9e+02 |
