| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |  300 | 3000 |   35 |  0.3110392 |1578723326277 |      72 |    77.0 | 6,94 | mscpb5.txt |   16 |
| 1 |  400 | 3000 |   35 | 0.26970455 |1578723326277 |      72 |    77.0 | 6,94 | mscpb5.txt |   27 |
| 1 |  500 | 3000 |   35 | 0.29963794 |1578723326277 |      72 |    74.0 | 2,78 | mscpb5.txt |   39 |
| 1 |  600 | 3000 |   35 | 0.27633888 |1578723326277 |      72 |    73.0 | 1,39 | mscpb5.txt |   51 |
| 2 |  200 | 3000 |   35 | 0.26861876 |1578723523998 |      72 |    77.0 | 6,94 | mscpb5.txt |   13 |
| 2 |  300 | 3000 |   35 |  0.3221272 |1578723523998 |      72 |    77.0 | 6,94 | mscpb5.txt |   26 |
| 2 |  400 | 3000 |   35 |  0.2968552 |1578723523998 |      72 |    74.0 | 2,78 | mscpb5.txt |   38 |
| 2 |  500 | 3000 |   35 |  0.3100792 |1578723523998 |      72 |    74.0 | 2,78 | mscpb5.txt |   50 |
| 3 |  500 | 3000 |   35 | 0.35488376 |1578723578169 |      72 |    79.0 | 9,72 | mscpb5.txt |   28 |
| 3 |  600 | 3000 |   35 | 0.28660357 |1578723578169 |      72 |    77.0 | 6,94 | mscpb5.txt |   41 |
| 3 |  700 | 3000 |   35 |  0.2984529 |1578723578169 |      72 |    77.0 | 6,94 | mscpb5.txt |   54 |
| 3 |  800 | 3000 |   35 |  0.3187819 |1578723578169 |      72 |    75.0 | 4,17 | mscpb5.txt |   66 |
| 4 |  500 | 3000 |   35 | 0.34322593 |1578723645061 |      72 |    79.0 | 9,72 | mscpb5.txt |   28 |
| 4 |  600 | 3000 |   35 | 0.34187287 |1578723645061 |      72 |    76.0 | 5,56 | mscpb5.txt |   40 |
| 4 |  700 | 3000 |   35 |  0.3021739 |1578723645061 |      72 |    76.0 | 5,56 | mscpb5.txt |   52 |
| 4 |  300 | 3000 |   35 |  0.3021739 |1578723645061 |      72 |    72.0 | 0,00 | mscpb5.txt |   54 |
| 5 |  200 | 3000 |   35 |  0.2951837 |1578723699140 |      72 |    77.0 | 6,94 | mscpb5.txt |   13 |
| 5 |  300 | 3000 |   35 | 0.30676234 |1578723699140 |      72 |    77.0 | 6,94 | mscpb5.txt |   26 |
| 5 |  400 | 3000 |   35 | 0.22691533 |1578723699140 |      72 |    77.0 | 6,94 | mscpb5.txt |   39 |
| 5 |  500 | 3000 |   35 | 0.25470474 |1578723699140 |      72 |    75.0 | 4,17 | mscpb5.txt |   51 |
| 6 |  400 | 3000 |   35 | 0.34618175 |1578726917542 |      72 |    79.0 | 9,72 | mscpb5.txt |   21 |
| 6 |  500 | 3000 |   35 | 0.27857405 |1578726917542 |      72 |    77.0 | 6,94 | mscpb5.txt |   32 |
| 6 |  600 | 3000 |   35 | 0.33918077 |1578726917542 |      72 |    77.0 | 6,94 | mscpb5.txt |   44 |
| 6 |  700 | 3000 |   35 | 0.26590702 |1578726917542 |      72 |    77.0 | 6,94 | mscpb5.txt |   55 |
| 7 |  400 | 3000 |   35 | 0.34044635 |1578727178510 |      72 |    78.0 | 8,33 | mscpb5.txt |   19 |
| 7 |  500 | 3000 |   35 | 0.31149283 |1578727178510 |      72 |    78.0 | 8,33 | mscpb5.txt |   30 |
| 7 |  600 | 3000 |   35 | 0.27952793 |1578727178510 |      72 |    76.0 | 5,56 | mscpb5.txt |   40 |
| 7 |  700 | 3000 |   35 |  0.2811717 |1578727178510 |      72 |    76.0 | 5,56 | mscpb5.txt |   51 |
| 8 |  300 | 3000 |   35 |  0.2445341 |1578727261024 |      72 |    77.0 | 6,94 | mscpb5.txt |   14 |
| 8 |  400 | 3000 |   35 | 0.26367542 |1578727261024 |      72 |    75.0 | 4,17 | mscpb5.txt |   25 |
| 8 |  500 | 3000 |   35 | 0.35325068 |1578727261024 |      72 |    74.0 | 2,78 | mscpb5.txt |   42 |
| 8 |  600 | 3000 |   35 | 0.28255305 |1578727261024 |      72 |    74.0 | 2,78 | mscpb5.txt |   56 |
| 9 |  200 | 3000 |   35 | 0.23273243 |1578727404155 |      72 |    76.0 | 5,56 | mscpb5.txt |   13 |
| 9 |  300 | 3000 |   35 | 0.31143385 |1578727404155 |      72 |    76.0 | 5,56 | mscpb5.txt |   26 |
| 9 |  400 | 3000 |   35 | 0.36354038 |1578727404155 |      72 |    73.0 | 1,39 | mscpb5.txt |   41 |
| 9 |  500 | 3000 |   35 |  0.3303563 |1578727404155 |      72 |    73.0 | 1,39 | mscpb5.txt |   57 |
|10 |  500 | 3000 |   35 | 0.27831236 |1578727562832 |      72 |    76.0 | 5,56 | mscpb5.txt |   29 |
|10 |  600 | 3000 |   35 | 0.27300042 |1578727562832 |      72 |    76.0 | 5,56 | mscpb5.txt |   40 |
|10 |  700 | 3000 |   35 | 0.28160018 |1578727562832 |      72 |    75.0 | 4,17 | mscpb5.txt |   51 |
|10 |  800 | 3000 |   35 | 0.28390634 |1578727562832 |      72 |    75.0 | 4,17 | mscpb5.txt |   62 |
|11 |  300 | 3000 |   35 | 0.25874195 |1578727714263 |      72 |    72.0 | 0,00 | mscpb5.txt |   21 |
|12 |  500 | 3000 |   35 |  0.2770086 |1578727735275 |      72 |    75.0 | 4,17 | mscpb5.txt |   28 |
|12 |  300 | 3000 |   35 |  0.2770086 |1578727735275 |      72 |    72.0 | 0,00 | mscpb5.txt |   33 |
|13 |  500 | 3000 |   35 |  0.3661843 |1578727768443 |      72 |    79.0 | 9,72 | mscpb5.txt |   29 |
|13 |  600 | 3000 |   35 |  0.2729707 |1578727768443 |      72 |    77.0 | 6,94 | mscpb5.txt |   41 |
|13 |  700 | 3000 |   35 |  0.2982366 |1578727768443 |      72 |    77.0 | 6,94 | mscpb5.txt |   51 |
|13 |  800 | 3000 |   35 | 0.31529537 |1578727768443 |      72 |    75.0 | 4,17 | mscpb5.txt |   62 |
|14 |  300 | 3000 |   35 |  0.3028042 |1578728143696 |      72 |    77.0 | 6,94 | mscpb5.txt |   16 |
|14 |  400 | 3000 |   35 | 0.26979718 |1578728143696 |      72 |    77.0 | 6,94 | mscpb5.txt |   27 |
|14 |  500 | 3000 |   35 |  0.2662544 |1578728143696 |      72 |    77.0 | 6,94 | mscpb5.txt |   39 |
|14 |  600 | 3000 |   35 | 0.27242273 |1578728143696 |      72 |    77.0 | 6,94 | mscpb5.txt |   50 |
|15 |  600 | 3000 |   35 | 0.33419412 |1578729151302 |      72 |    76.0 | 5,56 | mscpb5.txt |   37 |
|15 |  700 | 3000 |   35 |  0.3059646 |1578729151302 |      72 |    73.0 | 1,39 | mscpb5.txt |   48 |
|15 |  800 | 3000 |   35 |  0.3288425 |1578729151302 |      72 |    73.0 | 1,39 | mscpb5.txt |   59 |
|15 |  300 | 3000 |   35 |  0.3288425 |1578729151302 |      72 |    72.0 | 0,00 | mscpb5.txt |   66 |
|16 |  200 | 3000 |   35 | 0.29087797 |1578729217610 |      72 |    74.0 | 2,78 | mscpb5.txt |   15 |
|16 |  300 | 3000 |   35 | 0.30143994 |1578729217610 |      72 |    74.0 | 2,78 | mscpb5.txt |   28 |
|16 |  400 | 3000 |   35 | 0.31922814 |1578729217610 |      72 |    73.0 | 1,39 | mscpb5.txt |   40 |
|16 |  500 | 3000 |   35 | 0.30739146 |1578729217610 |      72 |    73.0 | 1,39 | mscpb5.txt |   51 |
|17 |  400 | 3000 |   35 | 0.32813063 |1578729760743 |      72 |    77.0 | 6,94 | mscpb5.txt |   17 |
|17 |  500 | 3000 |   35 | 0.33955595 |1578729760743 |      72 |    77.0 | 6,94 | mscpb5.txt |   29 |
|17 |  600 | 3000 |   35 | 0.31271687 |1578729760743 |      72 |    76.0 | 5,56 | mscpb5.txt |   41 |
|17 |  700 | 3000 |   35 | 0.34057972 |1578729760743 |      72 |    76.0 | 5,56 | mscpb5.txt |   52 |
|18 |  300 | 3000 |   35 | 0.34092247 |1578729931196 |      72 |    77.0 | 6,94 | mscpb5.txt |   18 |
|18 |  400 | 3000 |   35 | 0.38553175 |1578729931196 |      72 |    74.0 | 2,78 | mscpb5.txt |   35 |
|18 |  500 | 3000 |   35 | 0.38568068 |1578729931196 |      72 |    74.0 | 2,78 | mscpb5.txt |   51 |
|18 |  600 | 3000 |   35 | 0.35894388 |1578729931196 |      72 |    73.0 | 1,39 | mscpb5.txt |   68 |
|19 |  300 | 3000 |   35 | 0.32372025 |1578730233386 |      72 |    79.0 | 9,72 | mscpb5.txt |   14 |
|19 |  400 | 3000 |   35 | 0.31316024 |1578730233386 |      72 |    77.0 | 6,94 | mscpb5.txt |   26 |
|19 |  500 | 3000 |   35 | 0.26611862 |1578730233386 |      72 |    76.0 | 5,56 | mscpb5.txt |   37 |
|19 |  600 | 3000 |   35 |  0.2992778 |1578730233386 |      72 |    76.0 | 5,56 | mscpb5.txt |   48 |
|20 |  200 | 3000 |   35 | 0.33905748 |1578730335650 |      72 |    77.0 | 6,94 | mscpb5.txt |   16 |
|20 |  300 | 3000 |   35 | 0.38472167 |1578730335650 |      72 |    77.0 | 6,94 | mscpb5.txt |   29 |
|20 |  300 | 3000 |   35 | 0.38472167 |1578730335650 |      72 |    72.0 | 0,00 | mscpb5.txt |   38 |
|21 |  300 | 3000 |   35 | 0.26384702 |1578730374140 |      72 |    75.0 | 4,17 | mscpb5.txt |   17 |
|21 |  400 | 3000 |   35 |  0.2923257 |1578730374140 |      72 |    74.0 | 2,78 | mscpb5.txt |   29 |
|21 |  500 | 3000 |   35 |   0.308552 |1578730374140 |      72 |    74.0 | 2,78 | mscpb5.txt |   42 |
|21 |  600 | 3000 |   35 | 0.31794262 |1578730374140 |      72 |    74.0 | 2,78 | mscpb5.txt |   55 |
|22 |  200 | 3000 |   35 |  0.2672255 |1578730667223 |      72 |    77.0 | 6,94 | mscpb5.txt |   14 |
|22 |  300 | 3000 |   35 |  0.2435275 |1578730667223 |      72 |    77.0 | 6,94 | mscpb5.txt |   25 |
|22 |  400 | 3000 |   35 | 0.29087657 |1578730667223 |      72 |    74.0 | 2,78 | mscpb5.txt |   37 |
|22 |  500 | 3000 |   35 | 0.29068837 |1578730667223 |      72 |    73.0 | 1,39 | mscpb5.txt |   49 |
|23 |  300 | 3000 |   35 |  0.3110635 |1578730780967 |      72 |    77.0 | 6,94 | mscpb5.txt |   17 |
|23 |  400 | 3000 |   35 |  0.3241726 |1578730780967 |      72 |    77.0 | 6,94 | mscpb5.txt |   28 |
|23 |  500 | 3000 |   35 | 0.30719668 |1578730780967 |      72 |    77.0 | 6,94 | mscpb5.txt |   38 |
