| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 7 | 1400 | 3000 |   50 | 0.25229892 |1578695178353 |     265 |   267.0 | 0,75 |mscp510.txt |   68 |
| 7 | 1500 | 3000 |   50 | 0.24072902 |1578695178353 |     265 |   267.0 | 0,75 |mscp510.txt |   75 |
| 7 | 1600 | 3000 |   50 | 0.28960395 |1578695178353 |     265 |   267.0 | 0,75 |mscp510.txt |   82 |
| 7 | 1700 | 3000 |   50 | 0.29416883 |1578695178353 |     265 |   267.0 | 0,75 |mscp510.txt |   89 |
| 9 | 1600 | 3000 |   50 | 0.23044793 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |   67 |
| 9 | 1700 | 3000 |   50 |   0.290256 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |   73 |
| 9 | 1800 | 3000 |   50 | 0.29908332 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |   79 |
| 9 | 1900 | 3000 |   50 | 0.28524023 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |   86 |
|12 | 1600 | 3000 |   50 | 0.27956137 |1578695612479 |     265 |   267.0 | 0,75 |mscp510.txt |   66 |
|12 | 1700 | 3000 |   50 | 0.26572695 |1578695612479 |     265 |   267.0 | 0,75 |mscp510.txt |   72 |
|12 | 1800 | 3000 |   50 |  0.2734814 |1578695612479 |     265 |   267.0 | 0,75 |mscp510.txt |   77 |
|12 | 1900 | 3000 |   50 | 0.27313122 |1578695612479 |     265 |   267.0 | 0,75 |mscp510.txt |   83 |
|14 | 1400 | 3000 |   50 |  0.2541652 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |   62 |
|14 | 1500 | 3000 |   50 | 0.26876602 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |   68 |
|14 | 1600 | 3000 |   50 |  0.2678331 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |   74 |
|14 | 1700 | 3000 |   50 | 0.24435127 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |   81 |
|20 | 1600 | 3000 |   50 |  0.2860684 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |   64 |
|20 | 1700 | 3000 |   50 | 0.27840155 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |   70 |
|20 | 1800 | 3000 |   50 | 0.28229028 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |   77 |
|20 | 1900 | 3000 |   50 |   0.279639 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |   82 |
|22 | 1400 | 3000 |   50 | 0.23742765 |1578696314623 |     265 |   267.0 | 0,75 |mscp510.txt |   61 |
|22 | 1500 | 3000 |   50 | 0.27246022 |1578696314623 |     265 |   267.0 | 0,75 |mscp510.txt |   67 |
|22 | 1600 | 3000 |   50 | 0.26658753 |1578696314623 |     265 |   267.0 | 0,75 |mscp510.txt |   74 |
|22 | 1700 | 3000 |   50 |  0.2649603 |1578696314623 |     265 |   266.0 | 0,38 |mscp510.txt |   80 |
|23 | 1700 | 3000 |   50 |  0.2629913 |1578696394809 |     265 |   269.0 | 1,51 |mscp510.txt |   70 |
|23 | 1800 | 3000 |   50 | 0.26636568 |1578696394809 |     265 |   269.0 | 1,51 |mscp510.txt |   76 |
|23 | 1900 | 3000 |   50 | 0.26460436 |1578696394809 |     265 |   269.0 | 1,51 |mscp510.txt |   82 |
|23 | 2000 | 3000 |   50 | 0.27071163 |1578696394809 |     265 |   269.0 | 1,51 |mscp510.txt |   88 |
|27 | 1600 | 3000 |   50 | 0.31380856 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |   71 |
|27 | 1700 | 3000 |   50 | 0.29573244 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |   78 |
|27 | 1800 | 3000 |   50 | 0.27833214 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |   85 |
|27 | 1900 | 3000 |   50 | 0.27187535 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |   92 |
|30 | 1400 | 3000 |   50 |  0.2744001 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |   66 |
|30 | 1500 | 3000 |   50 |  0.2721519 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |   72 |
|30 | 1600 | 3000 |   50 | 0.24913906 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |   79 |
|30 | 1700 | 3000 |   50 | 0.24925992 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |   85 |
