| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 3 | 1800 | 3000 |   50 | 0.32914346 |1578733165954 |     215 |   218.0 | 1,40 | mscpc5.txt |4,5e+02 |
| 3 | 1900 | 3000 |   50 | 0.32214195 |1578733165954 |     215 |   218.0 | 1,40 | mscpc5.txt |5,0e+02 |
| 3 | 2000 | 3000 |   50 | 0.32563695 |1578733165954 |     215 |   218.0 | 1,40 | mscpc5.txt |5,5e+02 |
| 3 | 2100 | 3000 |   50 | 0.33739585 |1578733165954 |     215 |   217.0 | 0,93 | mscpc5.txt |6,0e+02 |
| 5 | 1700 | 3000 |   50 | 0.30456957 |1578734716468 |     215 |   217.0 | 0,93 | mscpc5.txt |5,8e+02 |
| 5 | 1800 | 3000 |   50 |  0.2930456 |1578734716468 |     215 |   217.0 | 0,93 | mscpc5.txt |6,4e+02 |
| 5 | 1900 | 3000 |   50 | 0.30745777 |1578734716468 |     215 |   217.0 | 0,93 | mscpc5.txt |7,0e+02 |
| 5 | 2000 | 3000 |   50 |  0.3062683 |1578734716468 |     215 |   217.0 | 0,93 | mscpc5.txt |7,6e+02 |
| 6 | 1500 | 3000 |   50 |  0.2889215 |1578736369910 |     215 |   217.0 | 0,93 | mscpc5.txt |4,2e+02 |
| 6 | 1600 | 3000 |   50 |  0.2842574 |1578736369910 |     215 |   217.0 | 0,93 | mscpc5.txt |4,6e+02 |
| 6 | 1700 | 3000 |   50 | 0.29590496 |1578736369910 |     215 |   217.0 | 0,93 | mscpc5.txt |5,1e+02 |
| 6 | 1800 | 3000 |   50 |  0.2969163 |1578736369910 |     215 |   217.0 | 0,93 | mscpc5.txt |5,5e+02 |
| 7 | 1700 | 3000 |   50 | 0.28003716 |1578737811117 |     215 |   217.0 | 0,93 | mscpc5.txt |4,9e+02 |
| 7 | 1800 | 3000 |   50 | 0.27413148 |1578737811117 |     215 |   217.0 | 0,93 | mscpc5.txt |5,3e+02 |
| 7 | 1900 | 3000 |   50 | 0.27765957 |1578737811117 |     215 |   217.0 | 0,93 | mscpc5.txt |5,8e+02 |
| 7 | 2000 | 3000 |   50 | 0.28637677 |1578737811117 |     215 |   217.0 | 0,93 | mscpc5.txt |6,3e+02 |
| 8 | 1700 | 3000 |   50 |  0.2815518 |1578738522223 |     215 |   217.0 | 0,93 | mscpc5.txt |4,3e+02 |
| 8 | 1800 | 3000 |   50 |  0.2844552 |1578738522223 |     215 |   217.0 | 0,93 | mscpc5.txt |4,8e+02 |
| 8 | 1900 | 3000 |   50 | 0.28152525 |1578738522223 |     215 |   216.0 | 0,47 | mscpc5.txt |5,2e+02 |
| 8 | 2000 | 3000 |   50 | 0.28131306 |1578738522223 |     215 |   216.0 | 0,47 | mscpc5.txt |5,7e+02 |
| 9 | 1500 | 3000 |   50 | 0.25940666 |1578739914909 |     215 |   217.0 | 0,93 | mscpc5.txt |5,1e+02 |
| 9 | 1600 | 3000 |   50 |   0.262941 |1578739914909 |     215 |   217.0 | 0,93 | mscpc5.txt |5,6e+02 |
| 9 | 1700 | 3000 |   50 | 0.26250112 |1578739914909 |     215 |   217.0 | 0,93 | mscpc5.txt |6,1e+02 |
| 9 | 1800 | 3000 |   50 | 0.26074678 |1578739914909 |     215 |   217.0 | 0,93 | mscpc5.txt |6,6e+02 |
|10 | 1700 | 3000 |   50 |  0.2896324 |1578741498856 |     215 |   217.0 | 0,93 | mscpc5.txt |5,0e+02 |
|10 | 1800 | 3000 |   50 | 0.29178908 |1578741498856 |     215 |   217.0 | 0,93 | mscpc5.txt |5,4e+02 |
|10 | 1900 | 3000 |   50 | 0.29385418 |1578741498856 |     215 |   217.0 | 0,93 | mscpc5.txt |5,9e+02 |
|10 | 2000 | 3000 |   50 | 0.28911513 |1578741498856 |     215 |   217.0 | 0,93 | mscpc5.txt |6,3e+02 |
|11 | 1600 | 3000 |   50 | 0.28692907 |1578742857683 |     215 |   216.0 | 0,47 | mscpc5.txt |4,3e+02 |
|11 | 1700 | 3000 |   50 | 0.29637414 |1578742857683 |     215 |   216.0 | 0,47 | mscpc5.txt |4,8e+02 |
|11 | 1800 | 3000 |   50 |  0.2837751 |1578742857683 |     215 |   216.0 | 0,47 | mscpc5.txt |5,2e+02 |
|11 | 1900 | 3000 |   50 | 0.29169062 |1578742857683 |     215 |   216.0 | 0,47 | mscpc5.txt |5,6e+02 |
|12 | 1400 | 3000 |   50 | 0.25893262 |1578744293592 |     215 |   217.0 | 0,93 | mscpc5.txt |5,0e+02 |
|12 | 1500 | 3000 |   50 |  0.2559717 |1578744293592 |     215 |   217.0 | 0,93 | mscpc5.txt |5,8e+02 |
|12 | 1600 | 3000 |   50 | 0.26798877 |1578744293592 |     215 |   217.0 | 0,93 | mscpc5.txt |6,6e+02 |
|12 | 1700 | 3000 |   50 | 0.26681077 |1578744293592 |     215 |   217.0 | 0,93 | mscpc5.txt |7,4e+02 |
|14 | 1500 | 3000 |   50 | 0.24068788 |1578746778112 |     215 |   217.0 | 0,93 | mscpc5.txt |3,7e+02 |
|14 | 1600 | 3000 |   50 | 0.23579037 |1578746778112 |     215 |   217.0 | 0,93 | mscpc5.txt |4,0e+02 |
|14 | 1700 | 3000 |   50 | 0.24866138 |1578746778112 |     215 |   217.0 | 0,93 | mscpc5.txt |4,4e+02 |
|14 | 1800 | 3000 |   50 |  0.2422545 |1578746778112 |     215 |   217.0 | 0,93 | mscpc5.txt |4,8e+02 |
|16 | 1500 | 3000 |   50 | 0.28959027 |1578748368821 |     215 |   217.0 | 0,93 | mscpc5.txt |4,2e+02 |
|16 | 1600 | 3000 |   50 | 0.30471635 |1578748368821 |     215 |   217.0 | 0,93 | mscpc5.txt |4,6e+02 |
|16 | 1700 | 3000 |   50 |  0.3063446 |1578748368821 |     215 |   217.0 | 0,93 | mscpc5.txt |5,0e+02 |
|16 | 1800 | 3000 |   50 | 0.31021708 |1578748368821 |     215 |   217.0 | 0,93 | mscpc5.txt |5,4e+02 |
|17 | 1700 | 3000 |   50 | 0.28283688 |1578750026971 |     215 |   217.0 | 0,93 | mscpc5.txt |5,3e+02 |
|17 | 1800 | 3000 |   50 | 0.29056373 |1578750026971 |     215 |   217.0 | 0,93 | mscpc5.txt |5,9e+02 |
|17 | 1900 | 3000 |   50 | 0.29560027 |1578750026971 |     215 |   217.0 | 0,93 | mscpc5.txt |6,4e+02 |
|17 | 2000 | 3000 |   50 | 0.29070085 |1578750026971 |     215 |   217.0 | 0,93 | mscpc5.txt |7,2e+02 |
|18 | 1600 | 3000 |   50 | 0.29124326 |1578751682343 |     215 |   217.0 | 0,93 | mscpc5.txt |4,4e+02 |
|18 | 1700 | 3000 |   50 |  0.2918911 |1578751682343 |     215 |   217.0 | 0,93 | mscpc5.txt |4,9e+02 |
|18 | 1800 | 3000 |   50 | 0.29647398 |1578751682343 |     215 |   217.0 | 0,93 | mscpc5.txt |5,3e+02 |
|18 | 1900 | 3000 |   50 | 0.30154324 |1578751682343 |     215 |   217.0 | 0,93 | mscpc5.txt |5,8e+02 |
|19 | 1500 | 3000 |   50 | 0.28264317 |1578753036112 |     215 |   217.0 | 0,93 | mscpc5.txt |4,3e+02 |
|19 | 1600 | 3000 |   50 | 0.27971858 |1578753036112 |     215 |   217.0 | 0,93 | mscpc5.txt |4,9e+02 |
|19 | 1700 | 3000 |   50 | 0.28581226 |1578753036112 |     215 |   217.0 | 0,93 | mscpc5.txt |5,5e+02 |
|19 | 1800 | 3000 |   50 |  0.2786155 |1578753036112 |     215 |   217.0 | 0,93 | mscpc5.txt |6,0e+02 |
|20 | 1700 | 3000 |   50 | 0.28787974 |1578755051939 |     215 |   216.0 | 0,47 | mscpc5.txt |5,8e+02 |
|20 | 1800 | 3000 |   50 | 0.26859653 |1578755051939 |     215 |   216.0 | 0,47 | mscpc5.txt |6,3e+02 |
|20 | 1900 | 3000 |   50 | 0.26646927 |1578755051939 |     215 |   216.0 | 0,47 | mscpc5.txt |6,7e+02 |
|20 | 2000 | 3000 |   50 | 0.26527762 |1578755051939 |     215 |   216.0 | 0,47 | mscpc5.txt |7,2e+02 |
