| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 | 2800 | 3000 |   50 |       0.25 |1579539773421 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,9e+03 |
| 1 | 2900 | 3000 |   50 |       0.25 |1579539773421 |      28 |    30.0 | 7,14 |mscpnre5.txt |2,1e+03 |
| 1 | 3000 | 3000 |   50 |       0.25 |1579539773421 |      28 |    30.0 | 7,14 |mscpnre5.txt |2,2e+03 |
| 1 |  500 | 3000 |   50 |       0.25 |1579539773421 |      28 |    30.0 | 7,14 |mscpnre5.txt |2,2e+03 |
| 2 | 2700 | 3000 |   50 |       0.04 |1579541968081 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,6e+03 |
| 2 | 2800 | 3000 |   50 |       0.04 |1579541968081 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,7e+03 |
| 2 | 2900 | 3000 |   50 |       0.04 |1579541968081 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,8e+03 |
| 2 | 3000 | 3000 |   50 |       0.04 |1579541968081 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,9e+03 |
| 3 | 2900 | 3000 |   50 |       0.08 |1579543842891 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,6e+03 |
| 3 | 3000 | 3000 |   50 |       0.08 |1579543842891 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,7e+03 |
| 3 |  500 | 3000 |   50 |       0.08 |1579543842891 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,7e+03 |
| 4 | 2700 | 3000 |   50 |       0.02 |1579545513368 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,6e+03 |
| 4 | 2800 | 3000 |   50 |       0.02 |1579545513368 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,7e+03 |
| 4 | 2900 | 3000 |   50 |       0.02 |1579545513368 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,8e+03 |
| 4 | 3000 | 3000 |   50 |       0.02 |1579545513368 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,9e+03 |
| 5 |  500 | 3000 |   50 |0.022222223 |1579547447142 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,5e+03 |
| 6 | 2900 | 3000 |   50 |       0.02 |1579548977147 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,8e+03 |
| 6 | 3000 | 3000 |   50 |       0.02 |1579548977147 |      28 |    30.0 | 7,14 |mscpnre5.txt |2,0e+03 |
| 6 |  500 | 3000 |   50 |       0.02 |1579548977147 |      28 |    30.0 | 7,14 |mscpnre5.txt |2,0e+03 |
| 7 | 2700 | 3000 |   50 |       0.08 |1579550933225 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,6e+03 |
| 7 | 2800 | 3000 |   50 |       0.08 |1579550933225 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,7e+03 |
| 7 | 2900 | 3000 |   50 |       0.08 |1579550933225 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,8e+03 |
| 7 | 3000 | 3000 |   50 |       0.08 |1579550933225 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,9e+03 |
| 8 | 2900 | 3000 |   50 |       0.02 |1579552862922 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,8e+03 |
| 8 | 3000 | 3000 |   50 |       0.02 |1579552862922 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,9e+03 |
| 8 |  500 | 3000 |   50 |       0.02 |1579552862922 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,9e+03 |
