| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 7 | 2200 | 3000 |   60 | 0.31164384 |1578695178353 |     265 |   267.0 | 0,75 |mscp510.txt |1,3e+02 |
| 7 | 2300 | 3000 |   60 | 0.30418664 |1578695178353 |     265 |   267.0 | 0,75 |mscp510.txt |1,4e+02 |
| 7 | 2400 | 3000 |   60 | 0.30270562 |1578695178353 |     265 |   267.0 | 0,75 |mscp510.txt |1,5e+02 |
| 7 | 2500 | 3000 |   60 | 0.29592276 |1578695178353 |     265 |   267.0 | 0,75 |mscp510.txt |1,6e+02 |
| 9 | 2400 | 3000 |   60 |  0.3025501 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |1,3e+02 |
| 9 | 2500 | 3000 |   60 | 0.29438132 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |1,4e+02 |
| 9 | 2600 | 3000 |   60 | 0.30072123 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |1,4e+02 |
| 9 | 2700 | 3000 |   60 | 0.29793233 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |1,5e+02 |
|12 | 2400 | 3000 |   60 | 0.28058764 |1578695612479 |     265 |   266.0 | 0,38 |mscp510.txt |1,2e+02 |
|12 |  200 | 3000 |   60 | 0.28058764 |1578695612479 |     265 |   265.0 | 0,00 |mscp510.txt |1,2e+02 |
|14 | 2200 | 3000 |   60 | 0.27558756 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |1,2e+02 |
|14 | 2300 | 3000 |   60 | 0.28008437 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |1,3e+02 |
|14 | 2400 | 3000 |   60 |  0.2773293 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |1,4e+02 |
|14 | 2500 | 3000 |   60 |   0.276302 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |1,5e+02 |
|20 | 2400 | 3000 |   60 |  0.2797966 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |1,2e+02 |
|20 | 2500 | 3000 |   60 | 0.26661214 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |1,3e+02 |
|20 | 2600 | 3000 |   60 | 0.27159467 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |1,3e+02 |
|20 | 2700 | 3000 |   60 | 0.27618653 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |1,4e+02 |
|23 | 2500 | 3000 |   60 |  0.2714968 |1578696394809 |     265 |   269.0 | 1,51 |mscp510.txt |1,3e+02 |
|23 | 2600 | 3000 |   60 | 0.31557778 |1578696394809 |     265 |   269.0 | 1,51 |mscp510.txt |1,3e+02 |
|23 | 2700 | 3000 |   60 |  0.3033473 |1578696394809 |     265 |   269.0 | 1,51 |mscp510.txt |1,4e+02 |
|23 | 2800 | 3000 |   60 | 0.28969136 |1578696394809 |     265 |   269.0 | 1,51 |mscp510.txt |1,5e+02 |
|27 | 2400 | 3000 |   60 |  0.2909864 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |1,4e+02 |
|27 | 2500 | 3000 |   60 | 0.27818906 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |1,5e+02 |
|27 | 2600 | 3000 |   60 |  0.2748664 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |1,6e+02 |
|27 | 2700 | 3000 |   60 | 0.28107905 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |1,7e+02 |
|30 | 2200 | 3000 |   60 | 0.27542856 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |1,2e+02 |
|30 | 2300 | 3000 |   60 | 0.26573998 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |1,3e+02 |
|30 | 2400 | 3000 |   60 | 0.26335955 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |1,4e+02 |
|30 | 2500 | 3000 |   60 | 0.30709445 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |1,4e+02 |
