| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 5 | 2200 | 3000 |   60 | 0.34106302 |1578723699140 |      72 |    73.0 | 1,39 | mscpb5.txt |1,5e+03 |
| 5 | 2300 | 3000 |   60 |  0.3386616 |1578723699140 |      72 |    73.0 | 1,39 | mscpb5.txt |1,6e+03 |
| 5 | 2400 | 3000 |   60 | 0.33818358 |1578723699140 |      72 |    73.0 | 1,39 | mscpb5.txt |1,8e+03 |
| 5 | 2500 | 3000 |   60 | 0.33412018 |1578723699140 |      72 |    73.0 | 1,39 | mscpb5.txt |2,0e+03 |
|14 | 2300 | 3000 |   60 | 0.38866958 |1578728143696 |      72 |    73.0 | 1,39 | mscpb5.txt |3,9e+02 |
|14 | 2400 | 3000 |   60 | 0.38205937 |1578728143696 |      72 |    73.0 | 1,39 | mscpb5.txt |4,5e+02 |
|14 | 2500 | 3000 |   60 | 0.37623563 |1578728143696 |      72 |    73.0 | 1,39 | mscpb5.txt |5,0e+02 |
|14 | 2600 | 3000 |   60 | 0.40373516 |1578728143696 |      72 |    73.0 | 1,39 | mscpb5.txt |5,7e+02 |
|16 | 2200 | 3000 |   60 | 0.33289266 |1578729217610 |      72 |    73.0 | 1,39 | mscpb5.txt |3,4e+02 |
|16 | 2300 | 3000 |   60 |  0.3421285 |1578729217610 |      72 |    73.0 | 1,39 | mscpb5.txt |3,6e+02 |
|16 | 2400 | 3000 |   60 | 0.35423282 |1578729217610 |      72 |    73.0 | 1,39 | mscpb5.txt |3,9e+02 |
|16 | 2500 | 3000 |   60 | 0.36673793 |1578729217610 |      72 |    73.0 | 1,39 | mscpb5.txt |4,1e+02 |
|31 | 2400 | 3000 |   60 | 0.36568204 |1578732119641 |      72 |    73.0 | 1,39 | mscpb5.txt |5,2e+02 |
|31 | 2500 | 3000 |   60 |  0.3655611 |1578732119641 |      72 |    73.0 | 1,39 | mscpb5.txt |5,7e+02 |
|31 | 2600 | 3000 |   60 | 0.36764023 |1578732119641 |      72 |    73.0 | 1,39 | mscpb5.txt |6,1e+02 |
|31 | 2700 | 3000 |   60 |  0.3655743 |1578732119641 |      72 |    73.0 | 1,39 | mscpb5.txt |6,6e+02 |
