| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 | 2700 | 3000 |   65 | 0.32662398 |1578697217042 |     161 |   166.0 | 3,11 | mscp65.txt |3,0e+02 |
| 1 | 2800 | 3000 |   65 | 0.35815126 |1578697217042 |     161 |   166.0 | 3,11 | mscp65.txt |3,2e+02 |
| 1 | 2900 | 3000 |   65 | 0.35584903 |1578697217042 |     161 |   166.0 | 3,11 | mscp65.txt |3,4e+02 |
| 1 | 3000 | 3000 |   65 | 0.36393234 |1578697217042 |     161 |   166.0 | 3,11 | mscp65.txt |3,6e+02 |
| 2 | 2900 | 3000 |   65 | 0.35409182 |1578697581308 |     161 |   165.0 | 2,48 | mscp65.txt |2,2e+02 |
| 2 | 3000 | 3000 |   65 | 0.35198808 |1578697581308 |     161 |   165.0 | 2,48 | mscp65.txt |2,4e+02 |
| 2 |  200 | 3000 |   65 | 0.35198808 |1578697581308 |     161 |   165.0 | 2,48 | mscp65.txt |2,4e+02 |
| 4 | 2700 | 3000 |   65 | 0.24609965 |1578697884440 |     161 |   165.0 | 2,48 | mscp65.txt |1,9e+02 |
| 4 | 2800 | 3000 |   65 |  0.3264592 |1578697884440 |     161 |   165.0 | 2,48 | mscp65.txt |2,1e+02 |
| 4 | 2900 | 3000 |   65 |  0.3264592 |1578697884440 |     161 |   165.0 | 2,48 | mscp65.txt |2,2e+02 |
| 4 | 3000 | 3000 |   65 |  0.3264592 |1578697884440 |     161 |   165.0 | 2,48 | mscp65.txt |2,4e+02 |
| 7 | 2800 | 3000 |   65 | 0.36168805 |1578698161503 |     161 |   164.0 | 1,86 | mscp65.txt |2,3e+02 |
| 7 | 2900 | 3000 |   65 | 0.36150196 |1578698161503 |     161 |   164.0 | 1,86 | mscp65.txt |2,4e+02 |
| 7 | 3000 | 3000 |   65 | 0.36150196 |1578698161503 |     161 |   164.0 | 1,86 | mscp65.txt |2,6e+02 |
| 7 |  200 | 3000 |   65 | 0.36150196 |1578698161503 |     161 |   164.0 | 1,86 | mscp65.txt |2,6e+02 |
| 9 | 2600 | 3000 |   65 |  0.3231932 |1578698440060 |     161 |   164.0 | 1,86 | mscp65.txt |3,7e+02 |
| 9 | 2700 | 3000 |   65 | 0.32322478 |1578698440060 |     161 |   164.0 | 1,86 | mscp65.txt |4,0e+02 |
| 9 | 2800 | 3000 |   65 | 0.32322478 |1578698440060 |     161 |   164.0 | 1,86 | mscp65.txt |4,4e+02 |
| 9 | 2900 | 3000 |   65 | 0.31815663 |1578698440060 |     161 |   164.0 | 1,86 | mscp65.txt |4,8e+02 |
|10 | 2900 | 3000 |   65 | 0.33612835 |1578698973041 |     161 |   164.0 | 1,86 | mscp65.txt |2,8e+02 |
|10 | 3000 | 3000 |   65 | 0.33664495 |1578698973041 |     161 |   164.0 | 1,86 | mscp65.txt |3,1e+02 |
|10 |  200 | 3000 |   65 | 0.33664495 |1578698973041 |     161 |   164.0 | 1,86 | mscp65.txt |3,1e+02 |
|12 | 2900 | 3000 |   65 | 0.33834663 |1578699312235 |     161 |   164.0 | 1,86 | mscp65.txt |2,3e+02 |
|12 | 3000 | 3000 |   65 | 0.36539036 |1578699312235 |     161 |   164.0 | 1,86 | mscp65.txt |2,5e+02 |
|12 |  200 | 3000 |   65 | 0.36539036 |1578699312235 |     161 |   164.0 | 1,86 | mscp65.txt |2,5e+02 |
|13 | 2700 | 3000 |   65 |  0.3319026 |1578699560747 |     161 |   164.0 | 1,86 | mscp65.txt |2,3e+02 |
|13 | 2800 | 3000 |   65 | 0.34152642 |1578699560747 |     161 |   164.0 | 1,86 | mscp65.txt |2,5e+02 |
|13 | 2900 | 3000 |   65 | 0.33559233 |1578699560747 |     161 |   164.0 | 1,86 | mscp65.txt |2,7e+02 |
|13 | 3000 | 3000 |   65 | 0.33748665 |1578699560747 |     161 |   164.0 | 1,86 | mscp65.txt |2,8e+02 |
|14 | 3000 | 3000 |   65 |  0.3458154 |1578699843743 |     161 |   164.0 | 1,86 | mscp65.txt |9,9e+02 |
|14 |  200 | 3000 |   65 |  0.3458154 |1578699843743 |     161 |   164.0 | 1,86 | mscp65.txt |9,9e+02 |
|15 | 2800 | 3000 |   65 |  0.3440974 |1578700836266 |     161 |   165.0 | 2,48 | mscp65.txt |2,1e+02 |
|15 | 2900 | 3000 |   65 | 0.32965812 |1578700836266 |     161 |   165.0 | 2,48 | mscp65.txt |2,2e+02 |
|15 | 3000 | 3000 |   65 | 0.32198688 |1578700836266 |     161 |   165.0 | 2,48 | mscp65.txt |2,4e+02 |
|15 |  200 | 3000 |   65 | 0.32198688 |1578700836266 |     161 |   165.0 | 2,48 | mscp65.txt |2,4e+02 |
|17 | 2700 | 3000 |   65 | 0.30851722 |1578701131203 |     161 |   164.0 | 1,86 | mscp65.txt |2,1e+02 |
|17 | 2800 | 3000 |   65 |  0.3054197 |1578701131203 |     161 |   164.0 | 1,86 | mscp65.txt |2,2e+02 |
|17 | 2900 | 3000 |   65 |  0.3054197 |1578701131203 |     161 |   164.0 | 1,86 | mscp65.txt |2,4e+02 |
|17 | 3000 | 3000 |   65 | 0.30202633 |1578701131203 |     161 |   164.0 | 1,86 | mscp65.txt |2,5e+02 |
|19 | 2800 | 3000 |   65 | 0.31249413 |1578701427080 |     161 |   164.0 | 1,86 | mscp65.txt |2,3e+02 |
|19 | 2900 | 3000 |   65 | 0.33068264 |1578701427080 |     161 |   164.0 | 1,86 | mscp65.txt |2,5e+02 |
|19 | 3000 | 3000 |   65 |  0.3282124 |1578701427080 |     161 |   164.0 | 1,86 | mscp65.txt |2,7e+02 |
|19 |  200 | 3000 |   65 |  0.3282124 |1578701427080 |     161 |   164.0 | 1,86 | mscp65.txt |2,7e+02 |
|20 | 2600 | 3000 |   65 | 0.30025238 |1578701695546 |     161 |   164.0 | 1,86 | mscp65.txt |2,1e+02 |
|20 | 2700 | 3000 |   65 | 0.29972088 |1578701695546 |     161 |   164.0 | 1,86 | mscp65.txt |2,3e+02 |
|20 | 2800 | 3000 |   65 | 0.29972088 |1578701695546 |     161 |   164.0 | 1,86 | mscp65.txt |2,4e+02 |
|20 | 2900 | 3000 |   65 | 0.29989213 |1578701695546 |     161 |   164.0 | 1,86 | mscp65.txt |2,6e+02 |
|21 | 2800 | 3000 |   65 | 0.34991544 |1578701973349 |     161 |   165.0 | 2,48 | mscp65.txt |2,0e+02 |
|21 | 2900 | 3000 |   65 | 0.29692355 |1578701973349 |     161 |   165.0 | 2,48 | mscp65.txt |2,2e+02 |
|21 | 3000 | 3000 |   65 | 0.34914258 |1578701973349 |     161 |   165.0 | 2,48 | mscp65.txt |2,3e+02 |
|21 |  200 | 3000 |   65 | 0.34914258 |1578701973349 |     161 |   165.0 | 2,48 | mscp65.txt |2,3e+02 |
|23 | 2600 | 3000 |   65 | 0.32543123 |1578702222044 |     161 |   164.0 | 1,86 | mscp65.txt |2,3e+02 |
|23 | 2700 | 3000 |   65 |  0.3280559 |1578702222044 |     161 |   164.0 | 1,86 | mscp65.txt |2,6e+02 |
|23 | 2800 | 3000 |   65 |  0.3275082 |1578702222044 |     161 |   164.0 | 1,86 | mscp65.txt |2,7e+02 |
|23 | 2900 | 3000 |   65 |  0.3275082 |1578702222044 |     161 |   164.0 | 1,86 | mscp65.txt |2,9e+02 |
|25 | 2800 | 3000 |   65 | 0.32959622 |1578702576852 |     161 |   165.0 | 2,48 | mscp65.txt |2,3e+02 |
|25 | 2900 | 3000 |   65 |  0.3571782 |1578702576852 |     161 |   165.0 | 2,48 | mscp65.txt |2,4e+02 |
|25 | 3000 | 3000 |   65 |    0.35706 |1578702576852 |     161 |   165.0 | 2,48 | mscp65.txt |2,6e+02 |
|25 |  200 | 3000 |   65 |    0.35706 |1578702576852 |     161 |   165.0 | 2,48 | mscp65.txt |2,6e+02 |
|26 | 2600 | 3000 |   65 | 0.28421533 |1578702837977 |     161 |   165.0 | 2,48 | mscp65.txt |2,3e+02 |
|26 | 2700 | 3000 |   65 |  0.3079875 |1578702837977 |     161 |   165.0 | 2,48 | mscp65.txt |2,5e+02 |
|26 | 2800 | 3000 |   65 |  0.3084245 |1578702837977 |     161 |   165.0 | 2,48 | mscp65.txt |2,8e+02 |
|26 | 2900 | 3000 |   65 | 0.30478725 |1578702837977 |     161 |   165.0 | 2,48 | mscp65.txt |3,0e+02 |
|27 | 2900 | 3000 |   65 | 0.34367728 |1578703167727 |     161 |   164.0 | 1,86 | mscp65.txt |2,0e+02 |
|27 | 3000 | 3000 |   65 |  0.3148491 |1578703167727 |     161 |   164.0 | 1,86 | mscp65.txt |2,2e+02 |
|27 |  200 | 3000 |   65 |  0.3148491 |1578703167727 |     161 |   164.0 | 1,86 | mscp65.txt |2,2e+02 |
|28 | 2800 | 3000 |   65 |  0.3539119 |1578703389542 |     161 |   164.0 | 1,86 | mscp65.txt |2,0e+02 |
|28 | 2900 | 3000 |   65 |  0.3351606 |1578703389542 |     161 |   164.0 | 1,86 | mscp65.txt |2,2e+02 |
|28 | 3000 | 3000 |   65 | 0.34051767 |1578703389542 |     161 |   164.0 | 1,86 | mscp65.txt |2,4e+02 |
|28 |  200 | 3000 |   65 | 0.34051767 |1578703389542 |     161 |   164.0 | 1,86 | mscp65.txt |2,4e+02 |
|29 | 2600 | 3000 |   65 | 0.31345636 |1578703630878 |     161 |   164.0 | 1,86 | mscp65.txt |2,1e+02 |
|29 | 2700 | 3000 |   65 | 0.31578946 |1578703630878 |     161 |   164.0 | 1,86 | mscp65.txt |2,2e+02 |
|29 | 2800 | 3000 |   65 | 0.35161144 |1578703630878 |     161 |   164.0 | 1,86 | mscp65.txt |2,4e+02 |
|29 | 2900 | 3000 |   65 |  0.3123087 |1578703630878 |     161 |   164.0 | 1,86 | mscp65.txt |2,5e+02 |
|30 | 2900 | 3000 |   65 | 0.31837848 |1578703902228 |     161 |   164.0 | 1,86 | mscp65.txt |2,9e+02 |
|30 | 3000 | 3000 |   65 |  0.3166776 |1578703902228 |     161 |   164.0 | 1,86 | mscp65.txt |3,1e+02 |
|30 |  200 | 3000 |   65 |  0.3166776 |1578703902228 |     161 |   164.0 | 1,86 | mscp65.txt |3,1e+02 |
|31 | 2700 | 3000 |   65 | 0.36850166 |1578704212148 |     161 |   164.0 | 1,86 | mscp65.txt |3,4e+02 |
|31 | 2800 | 3000 |   65 |  0.3562984 |1578704212148 |     161 |   164.0 | 1,86 | mscp65.txt |3,7e+02 |
