| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |  200 | 3000 |   70 | 0.36393234 |1578697217042 |     161 |   166.0 | 3,11 | mscp65.txt |3,6e+02 |
| 4 |  200 | 3000 |   70 |  0.3264592 |1578697884440 |     161 |   165.0 | 2,48 | mscp65.txt |2,4e+02 |
| 9 | 3000 | 3000 |   70 |  0.3393119 |1578698440060 |     161 |   164.0 | 1,86 | mscp65.txt |5,3e+02 |
| 9 |  200 | 3000 |   70 |  0.3393119 |1578698440060 |     161 |   164.0 | 1,86 | mscp65.txt |5,3e+02 |
|13 |  200 | 3000 |   70 | 0.33748665 |1578699560747 |     161 |   164.0 | 1,86 | mscp65.txt |2,8e+02 |
|17 |  200 | 3000 |   70 | 0.30202633 |1578701131203 |     161 |   164.0 | 1,86 | mscp65.txt |2,5e+02 |
|20 | 3000 | 3000 |   70 |  0.2722185 |1578701695546 |     161 |   164.0 | 1,86 | mscp65.txt |2,8e+02 |
|20 |  200 | 3000 |   70 |  0.2722185 |1578701695546 |     161 |   164.0 | 1,86 | mscp65.txt |2,8e+02 |
|23 | 3000 | 3000 |   70 |  0.3078335 |1578702222044 |     161 |   164.0 | 1,86 | mscp65.txt |3,2e+02 |
|23 |  200 | 3000 |   70 |  0.3078335 |1578702222044 |     161 |   164.0 | 1,86 | mscp65.txt |3,2e+02 |
|26 | 3000 | 3000 |   70 | 0.28771695 |1578702837977 |     161 |   165.0 | 2,48 | mscp65.txt |3,3e+02 |
|26 |  200 | 3000 |   70 | 0.28771695 |1578702837977 |     161 |   165.0 | 2,48 | mscp65.txt |3,3e+02 |
|29 | 3000 | 3000 |   70 | 0.33211932 |1578703630878 |     161 |   164.0 | 1,86 | mscp65.txt |2,7e+02 |
|29 |  200 | 3000 |   70 | 0.33211932 |1578703630878 |     161 |   164.0 | 1,86 | mscp65.txt |2,7e+02 |
|31 |  200 | 3000 |   70 |  0.3541145 |1578704212148 |     161 |   164.0 | 1,86 | mscp65.txt |4,4e+02 |
