| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 2 |  300 | 3000 |   70 | 0.26558265 |1578705209594 |     236 |   237.0 | 0,42 | mscpa5.txt |6,9e+02 |
| 4 |  300 | 3000 |   70 |  0.2665722 |1578706509864 |     236 |   237.0 | 0,42 | mscpa5.txt |7,8e+02 |
| 9 | 3000 | 3000 |   70 | 0.26695782 |1578708634250 |     236 |   237.0 | 0,42 | mscpa5.txt |7,6e+02 |
| 9 |  300 | 3000 |   70 | 0.26695782 |1578708634250 |     236 |   237.0 | 0,42 | mscpa5.txt |7,6e+02 |
|11 | 3000 | 3000 |   70 |  0.2809749 |1578709969938 |     236 |   237.0 | 0,42 | mscpa5.txt |6,8e+02 |
|11 |  300 | 3000 |   70 |  0.2809749 |1578709969938 |     236 |   237.0 | 0,42 | mscpa5.txt |6,8e+02 |
|14 | 3000 | 3000 |   70 | 0.28480026 |1578711593237 |     236 |   237.0 | 0,42 | mscpa5.txt |9,2e+02 |
|14 |  300 | 3000 |   70 | 0.28480026 |1578711593237 |     236 |   237.0 | 0,42 | mscpa5.txt |9,2e+02 |
|16 | 3000 | 3000 |   70 | 0.29821196 |1578713293694 |     236 |   237.0 | 0,42 | mscpa5.txt |7,7e+02 |
|16 |  300 | 3000 |   70 | 0.29821196 |1578713293694 |     236 |   237.0 | 0,42 | mscpa5.txt |7,7e+02 |
|18 | 3000 | 3000 |   70 | 0.25896543 |1578714642297 |     236 |   237.0 | 0,42 | mscpa5.txt |9,5e+02 |
|18 |  300 | 3000 |   70 | 0.25896543 |1578714642297 |     236 |   237.0 | 0,42 | mscpa5.txt |9,5e+02 |
|21 |  300 | 3000 |   70 |  0.3001104 |1578716505781 |     236 |   237.0 | 0,42 | mscpa5.txt |6,9e+02 |
|26 |  300 | 3000 |   70 | 0.27824694 |1578719357250 |     236 |   237.0 | 0,42 | mscpa5.txt |7,2e+02 |
|28 |  300 | 3000 |   70 | 0.30635375 |1578720857284 |     236 |   237.0 | 0,42 | mscpa5.txt |8,1e+02 |
|30 |  300 | 3000 |   70 |  0.3281813 |1578722198291 |     236 |   237.0 | 0,42 | mscpa5.txt |5,7e+02 |
