| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1585151032134 |      29 |  3590.0 |12279,31 |mscpnre1.txt |0,062 |
| 1 |  100 | 5000 |   35 | 0.34285715 |1585151032134 |      29 |  3110.0 |10624,14 |mscpnre1.txt |  1,0 |
| 1 |  200 | 5000 |   35 | 0.42857143 |1585151032134 |      29 |  2996.0 |10231,04 |mscpnre1.txt |  1,9 |
| 1 |  300 | 5000 |   35 | 0.37142858 |1585151032134 |      29 |  2759.0 |9413,79 |mscpnre1.txt |  2,8 |
| 1 |  400 | 5000 |   35 | 0.34285715 |1585151032134 |      29 |  2643.0 |9013,79 |mscpnre1.txt |  3,8 |
| 1 |  500 | 5000 |   35 | 0.31428573 |1585151032134 |      29 |  2520.0 |8589,66 |mscpnre1.txt |  4,8 |
| 1 |  600 | 5000 |   40 |       0.45 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |   67 |
| 1 |  700 | 5000 |   40 |       0.45 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |1,7e+02 |
| 1 |  800 | 5000 |   40 |       0.45 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |2,7e+02 |
| 1 |  900 | 5000 |   40 |       0.45 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |3,8e+02 |
| 1 | 1000 | 5000 |   45 |       0.45 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |4,7e+02 |
| 1 | 1100 | 5000 |   45 |       0.45 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |5,7e+02 |
| 1 | 1200 | 5000 |   45 |       0.45 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |6,6e+02 |
| 1 | 1300 | 5000 |   45 |       0.45 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |7,6e+02 |
| 1 | 1400 | 5000 |   50 |       0.45 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |8,8e+02 |
| 1 | 1500 | 5000 |   50 |       0.36 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |9,5e+02 |
| 1 | 1600 | 5000 |   50 |       0.36 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |1,0e+03 |
| 1 | 1700 | 5000 |   50 |       0.36 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |1,1e+03 |
| 1 | 1800 | 5000 |   55 | 0.36363637 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |1,2e+03 |
| 1 | 1900 | 5000 |   55 | 0.36363637 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |1,3e+03 |
| 1 | 2000 | 5000 |   55 | 0.36363637 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |1,4e+03 |
| 1 | 2100 | 5000 |   55 | 0.36363637 |1585151032134 |      29 |    30.0 | 3,45 |mscpnre1.txt |1,5e+03 |
