| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1585324967146 |      14 |  2431.0 |17264,29 |mscpnrf1.txt |0,044 |
| 1 |  100 | 5000 |   35 |       0.45 |1585324967146 |      14 |  2016.0 |14300,00 |mscpnrf1.txt | 0,85 |
| 1 |  200 | 5000 |   35 |        0.4 |1585324967146 |      14 |  1976.0 |14014,29 |mscpnrf1.txt |  1,5 |
| 1 |  300 | 5000 |   35 | 0.31428573 |1585324967146 |      14 |  1839.0 |13035,71 |mscpnrf1.txt |  2,2 |
| 1 |  400 | 5000 |   40 |      0.425 |1585324967146 |      14 |    16.0 |14,29 |mscpnrf1.txt |1,1e+02 |
| 1 |  500 | 5000 |   40 |       0.35 |1585324967146 |      14 |    16.0 |14,29 |mscpnrf1.txt |3,3e+02 |
| 1 |  600 | 5000 |   40 |      0.275 |1585324967146 |      14 |    16.0 |14,29 |mscpnrf1.txt |5,9e+02 |
| 1 |  700 | 5000 |   40 |      0.375 |1585324967146 |      14 |    16.0 |14,29 |mscpnrf1.txt |7,3e+02 |
| 1 |  800 | 5000 |   45 | 0.33333334 |1585324967146 |      14 |    16.0 |14,29 |mscpnrf1.txt |9,2e+02 |
| 1 |  900 | 5000 |   45 | 0.33333334 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |1,1e+03 |
| 1 | 1000 | 5000 |   45 | 0.33333334 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |1,3e+03 |
| 1 | 1100 | 5000 |   45 | 0.33333334 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |1,4e+03 |
| 1 | 1200 | 5000 |   50 |        0.3 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |1,6e+03 |
| 1 | 1300 | 5000 |   50 |        0.3 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |1,8e+03 |
| 1 | 1400 | 5000 |   50 |        0.3 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |2,0e+03 |
| 1 | 1500 | 5000 |   50 |        0.3 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |2,2e+03 |
| 1 | 1600 | 5000 |   55 |  0.3090909 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |2,4e+03 |
| 1 | 1700 | 5000 |   55 |  0.3090909 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |2,6e+03 |
| 1 | 1800 | 5000 |   55 |  0.3272727 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |2,8e+03 |
| 1 | 1900 | 5000 |   55 |  0.3272727 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |3,0e+03 |
| 1 | 2000 | 5000 |   60 | 0.33333334 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |3,3e+03 |
| 1 | 2100 | 5000 |   60 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |3,4e+03 |
| 1 | 2200 | 5000 |   60 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |3,5e+03 |
| 1 | 2300 | 5000 |   60 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |3,6e+03 |
| 1 | 2400 | 5000 |   65 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |3,7e+03 |
| 1 | 2500 | 5000 |   65 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |3,8e+03 |
| 1 | 2600 | 5000 |   65 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |4,0e+03 |
| 1 | 2700 | 5000 |   65 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |4,1e+03 |
| 1 | 2800 | 5000 |   70 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |4,3e+03 |
| 1 | 2900 | 5000 |   70 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |4,4e+03 |
| 1 | 3000 | 5000 |   70 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |4,6e+03 |
| 1 | 3100 | 5000 |   70 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |4,7e+03 |
| 1 | 3200 | 5000 |   75 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |4,9e+03 |
| 1 | 3300 | 5000 |   75 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |5,1e+03 |
| 1 | 3400 | 5000 |   75 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |5,3e+03 |
| 1 | 3500 | 5000 |   75 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |5,5e+03 |
| 1 | 3600 | 5000 |   80 |     0.4375 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |5,7e+03 |
| 1 | 3700 | 5000 |   80 |     0.4375 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |5,9e+03 |
| 1 | 3800 | 5000 |   80 |     0.4375 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |6,1e+03 |
| 1 | 3900 | 5000 |   80 |     0.4375 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |6,3e+03 |
| 1 | 4000 | 5000 |   85 |  0.4117647 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |6,6e+03 |
| 1 | 4100 | 5000 |   85 |  0.4117647 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |6,8e+03 |
| 1 | 4200 | 5000 |   85 |  0.4117647 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |7,0e+03 |
| 1 | 4300 | 5000 |   85 |  0.4117647 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |7,3e+03 |
| 1 | 4400 | 5000 |   90 |  0.3888889 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |7,5e+03 |
| 1 | 4500 | 5000 |   90 |  0.3888889 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |7,8e+03 |
| 1 | 4600 | 5000 |   90 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |7,9e+03 |
| 1 | 4700 | 5000 |   90 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |8,0e+03 |
| 1 | 4800 | 5000 |   95 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |8,1e+03 |
| 1 | 4900 | 5000 |   95 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |8,1e+03 |
| 1 | 5000 | 5000 |   95 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |8,1e+03 |
| 1 |  500 | 5000 |   95 |       0.45 |1585324967146 |      14 |    15.0 | 7,14 |mscpnrf1.txt |8,1e+03 |
| 2 |    1 | 5000 |   35 |       0.25 |1585333100865 |      14 |  2524.0 |17928,57 |mscpnrf1.txt |0,0080 |
| 2 |  100 | 5000 |   35 | 0.31428573 |1585333100865 |      14 |  2110.0 |14971,43 |mscpnrf1.txt | 0,96 |
| 2 |  200 | 5000 |   35 |        0.4 |1585333100865 |      14 |  1988.0 |14100,00 |mscpnrf1.txt |  1,8 |
| 2 |  300 | 5000 |   40 |       0.45 |1585333100865 |      14 |    17.0 |21,43 |mscpnrf1.txt |1,1e+02 |
