| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1585325025719 |     176 | 11063.0 |6185,80 |mscpnrg1.txt | 0,11 |
| 1 |  100 | 5000 |   35 |        0.4 |1585325025719 |     176 | 10112.0 |5645,45 |mscpnrg1.txt |  5,3 |
| 1 |  200 | 5000 |   35 |       0.45 |1585325025719 |     176 |  9679.0 |5399,43 |mscpnrg1.txt |   11 |
| 1 |  300 | 5000 |   35 |       0.45 |1585325025719 |     176 |  9321.0 |5196,02 |mscpnrg1.txt |   16 |
| 1 |  400 | 5000 |   40 |       0.45 |1585325025719 |     176 |   197.0 |11,93 |mscpnrg1.txt |6,6e+02 |
| 1 |  500 | 5000 |   40 |       0.45 |1585325025719 |     176 |   195.0 |10,80 |mscpnrg1.txt |1,4e+03 |
| 1 |  600 | 5000 |   40 |       0.45 |1585325025719 |     176 |   193.0 | 9,66 |mscpnrg1.txt |2,2e+03 |
| 1 |  700 | 5000 |   40 |       0.45 |1585325025719 |     176 |   192.0 | 9,09 |mscpnrg1.txt |2,9e+03 |
| 1 |  800 | 5000 |   45 |       0.45 |1585325025719 |     176 |   192.0 | 9,09 |mscpnrg1.txt |3,8e+03 |
| 1 |  900 | 5000 |   45 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |4,7e+03 |
| 1 | 1000 | 5000 |   45 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |5,7e+03 |
| 1 | 1100 | 5000 |   45 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |6,6e+03 |
| 1 | 1200 | 5000 |   50 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |7,7e+03 |
| 1 | 1300 | 5000 |   50 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |9,1e+03 |
| 1 | 1400 | 5000 |   50 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,0e+04 |
| 1 | 1500 | 5000 |   50 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,1e+04 |
| 1 | 1600 | 5000 |   55 | 0.43636364 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,2e+04 |
| 1 | 1700 | 5000 |   55 | 0.43636364 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,3e+04 |
| 1 | 1800 | 5000 |   55 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,3e+04 |
| 1 | 1900 | 5000 |   55 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,4e+04 |
| 1 | 2000 | 5000 |   60 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,5e+04 |
| 1 | 2100 | 5000 |   60 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,5e+04 |
| 1 | 2200 | 5000 |   60 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,6e+04 |
| 1 | 2300 | 5000 |   60 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,6e+04 |
| 1 | 2400 | 5000 |   65 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,7e+04 |
| 1 | 2500 | 5000 |   65 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,8e+04 |
| 1 | 2600 | 5000 |   65 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,9e+04 |
| 1 | 2700 | 5000 |   65 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |1,9e+04 |
| 1 | 2800 | 5000 |   70 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,0e+04 |
| 1 | 2900 | 5000 |   70 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,1e+04 |
| 1 | 3000 | 5000 |   70 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,2e+04 |
| 1 | 3100 | 5000 |   70 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,2e+04 |
| 1 | 3200 | 5000 |   75 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,3e+04 |
| 1 | 3300 | 5000 |   75 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,4e+04 |
| 1 | 3400 | 5000 |   75 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,4e+04 |
| 1 | 3500 | 5000 |   75 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,5e+04 |
| 1 | 3600 | 5000 |   80 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,6e+04 |
| 1 | 3700 | 5000 |   80 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,6e+04 |
| 1 | 3800 | 5000 |   80 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,7e+04 |
| 1 | 3900 | 5000 |   80 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,8e+04 |
| 1 | 4000 | 5000 |   85 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |2,9e+04 |
| 1 | 4100 | 5000 |   85 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |3,0e+04 |
| 1 | 4200 | 5000 |   85 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |3,0e+04 |
| 1 | 4300 | 5000 |   85 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |3,1e+04 |
| 1 | 4400 | 5000 |   90 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |3,2e+04 |
| 1 | 4500 | 5000 |   90 |       0.45 |1585325025719 |     176 |   190.0 | 7,95 |mscpnrg1.txt |3,3e+04 |
