| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1585325234383 |      63 | 19567.0 |30958,73 |mscpnrh1.txt | 0,12 |
| 1 |  100 | 5000 |   35 |       0.45 |1585325234383 |      63 | 17819.0 |28184,13 |mscpnrh1.txt |  4,9 |
| 1 |  200 | 5000 |   35 |       0.45 |1585325234383 |      63 | 17508.0 |27690,47 |mscpnrh1.txt |  8,7 |
| 1 |  300 | 5000 |   35 | 0.42857143 |1585325234383 |      63 | 16988.0 |26865,08 |mscpnrh1.txt |   12 |
| 1 |  400 | 5000 |   40 |       0.45 |1585325234383 |      63 |    74.0 |17,46 |mscpnrh1.txt |7,9e+02 |
| 1 |  500 | 5000 |   40 |       0.45 |1585325234383 |      63 |    74.0 |17,46 |mscpnrh1.txt |2,0e+03 |
| 1 |  600 | 5000 |   40 |       0.45 |1585325234383 |      63 |    74.0 |17,46 |mscpnrh1.txt |3,3e+03 |
| 1 |  700 | 5000 |   40 |       0.45 |1585325234383 |      63 |    73.0 |15,87 |mscpnrh1.txt |4,6e+03 |
| 1 |  800 | 5000 |   45 |       0.45 |1585325234383 |      63 |    73.0 |15,87 |mscpnrh1.txt |6,3e+03 |
| 1 |  900 | 5000 |   45 |       0.45 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |8,0e+03 |
| 1 | 1000 | 5000 |   45 |       0.45 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |9,9e+03 |
| 1 | 1100 | 5000 |   45 |       0.45 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |1,2e+04 |
| 1 | 1200 | 5000 |   50 |       0.26 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |1,3e+04 |
| 1 | 1300 | 5000 |   50 |       0.28 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |1,4e+04 |
| 1 | 1400 | 5000 |   50 |       0.28 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |1,6e+04 |
| 1 | 1500 | 5000 |   50 |       0.28 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |1,7e+04 |
| 1 | 1600 | 5000 |   55 | 0.43636364 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |1,9e+04 |
| 1 | 1700 | 5000 |   55 | 0.43636364 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |2,1e+04 |
| 1 | 1800 | 5000 |   55 | 0.43636364 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |2,2e+04 |
| 1 | 1900 | 5000 |   55 | 0.43636364 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |2,4e+04 |
| 1 | 2000 | 5000 |   60 |       0.45 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |2,6e+04 |
| 1 | 2100 | 5000 |   60 |       0.45 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |2,8e+04 |
| 1 | 2200 | 5000 |   60 |       0.45 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |2,9e+04 |
| 1 | 2300 | 5000 |   60 |       0.45 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |3,2e+04 |
| 1 | 2400 | 5000 |   65 |       0.45 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |3,4e+04 |
| 1 | 2500 | 5000 |   65 |  0.3846154 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |3,6e+04 |
| 1 | 2600 | 5000 |   65 |  0.3846154 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |3,7e+04 |
| 1 | 2700 | 5000 |   65 |  0.3846154 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |3,8e+04 |
| 1 | 2800 | 5000 |   70 | 0.35714287 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |4,0e+04 |
| 1 | 2900 | 5000 |   70 | 0.35714287 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |4,1e+04 |
| 1 | 3000 | 5000 |   70 | 0.35714287 |1585325234383 |      63 |    72.0 |14,29 |mscpnrh1.txt |4,3e+04 |
