| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1585329908460 |      28 |  4562.0 |16192,86 |mscpnre5.txt |0,0080 |
| 1 |  100 | 5000 |   35 |       0.45 |1585329908460 |      28 |  3872.0 |13728,57 |mscpnre5.txt | 0,99 |
| 1 |  200 | 5000 |   35 |       0.45 |1585329908460 |      28 |  3708.0 |13142,86 |mscpnre5.txt |  2,0 |
| 1 |  300 | 5000 |   35 | 0.42857143 |1585329908460 |      28 |  3517.0 |12460,71 |mscpnre5.txt |  2,9 |
| 1 |  400 | 5000 |   35 |       0.45 |1585329908460 |      28 |  3401.0 |12046,43 |mscpnre5.txt |  3,7 |
| 1 |  500 | 5000 |   40 |       0.45 |1585329908460 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,0e+02 |
| 1 |  600 | 5000 |   40 |       0.45 |1585329908460 |      28 |    30.0 | 7,14 |mscpnre5.txt |2,8e+02 |
| 1 |  700 | 5000 |   40 |       0.35 |1585329908460 |      28 |    30.0 | 7,14 |mscpnre5.txt |4,9e+02 |
| 1 |  800 | 5000 |   40 |      0.325 |1585329908460 |      28 |    30.0 | 7,14 |mscpnre5.txt |7,2e+02 |
| 1 |  900 | 5000 |   45 | 0.33333334 |1585329908460 |      28 |    30.0 | 7,14 |mscpnre5.txt |8,7e+02 |
| 1 | 1000 | 5000 |   45 | 0.33333334 |1585329908460 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,0e+03 |
| 1 | 1100 | 5000 |   45 | 0.33333334 |1585329908460 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,2e+03 |
| 1 | 1200 | 5000 |   45 | 0.33333334 |1585329908460 |      28 |    30.0 | 7,14 |mscpnre5.txt |1,3e+03 |
| 1 | 1300 | 5000 |   50 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,5e+03 |
| 1 | 1400 | 5000 |   50 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,7e+03 |
| 1 | 1500 | 5000 |   50 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |1,9e+03 |
| 1 | 1600 | 5000 |   50 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |2,0e+03 |
| 1 | 1700 | 5000 |   55 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |2,3e+03 |
| 1 | 1800 | 5000 |   55 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |2,4e+03 |
| 1 | 1900 | 5000 |   55 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |2,5e+03 |
| 1 | 2000 | 5000 |   55 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |2,6e+03 |
| 1 | 2100 | 5000 |   60 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |2,8e+03 |
| 1 | 2200 | 5000 |   60 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |2,9e+03 |
| 1 | 2300 | 5000 |   60 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |3,1e+03 |
| 1 | 2400 | 5000 |   60 |       0.45 |1585329908460 |      28 |    29.0 | 3,57 |mscpnre5.txt |3,3e+03 |
