| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1585376539148 |     219 |   352.0 |60,73 | mscpc2.txt | 0,25 |
| 1 |  100 | 5000 |   35 | 0.42857143 |1585376539148 |     219 |   292.0 |33,33 | mscpc2.txt |   44 |
| 1 |  200 | 5000 |   40 |       0.45 |1585376539148 |     219 |   239.0 | 9,13 | mscpc2.txt |   97 |
| 1 |  300 | 5000 |   40 |      0.375 |1585376539148 |     219 |   231.0 | 5,48 | mscpc2.txt |1,5e+02 |
| 1 |  400 | 5000 |   40 |       0.45 |1585376539148 |     219 |   226.0 | 3,20 | mscpc2.txt |2,1e+02 |
| 1 |  500 | 5000 |   40 |      0.325 |1585376539148 |     219 |   223.0 | 1,83 | mscpc2.txt |2,7e+02 |
| 1 |  600 | 5000 |   45 |       0.45 |1585376539148 |     219 |   223.0 | 1,83 | mscpc2.txt |3,4e+02 |
| 1 |  700 | 5000 |   45 |       0.45 |1585376539148 |     219 |   223.0 | 1,83 | mscpc2.txt |4,1e+02 |
| 1 |  800 | 5000 |   45 |  0.2888889 |1585376539148 |     219 |   223.0 | 1,83 | mscpc2.txt |4,7e+02 |
| 1 |  900 | 5000 |   45 |  0.2888889 |1585376539148 |     219 |   223.0 | 1,83 | mscpc2.txt |5,3e+02 |
| 1 | 1000 | 5000 |   50 |       0.45 |1585376539148 |     219 |   223.0 | 1,83 | mscpc2.txt |5,8e+02 |
| 1 | 1100 | 5000 |   50 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |6,3e+02 |
| 1 | 1200 | 5000 |   50 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |6,9e+02 |
| 1 | 1300 | 5000 |   50 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |7,4e+02 |
| 1 | 1400 | 5000 |   55 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |8,0e+02 |
| 1 | 1500 | 5000 |   55 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |8,7e+02 |
| 1 | 1600 | 5000 |   55 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |9,3e+02 |
| 1 | 1700 | 5000 |   55 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |9,9e+02 |
| 1 | 1800 | 5000 |   60 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |1,1e+03 |
| 1 | 1900 | 5000 |   60 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |1,1e+03 |
| 1 | 2000 | 5000 |   60 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |1,2e+03 |
| 1 | 2100 | 5000 |   60 |       0.45 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |1,3e+03 |
| 1 | 2200 | 5000 |   65 | 0.41538462 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |1,4e+03 |
| 1 | 2300 | 5000 |   65 | 0.41538462 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |1,5e+03 |
| 1 | 2400 | 5000 |   65 | 0.41538462 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |1,5e+03 |
| 1 | 2500 | 5000 |   65 | 0.41538462 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |1,6e+03 |
| 1 | 2600 | 5000 |   70 |        0.4 |1585376539148 |     219 |   221.0 | 0,91 | mscpc2.txt |1,7e+03 |
