| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1585376808380 |      79 |   136.0 |72,15 | mscpb4.txt |0,010 |
| 1 |  100 | 5000 |   35 |        0.4 |1585376808380 |      79 |   125.0 |58,23 | mscpb4.txt |  2,1 |
| 1 |  200 | 5000 |   40 |       0.45 |1585376808380 |      79 |    89.0 |12,66 | mscpb4.txt |   32 |
| 1 |  300 | 5000 |   40 |       0.45 |1585376808380 |      79 |    89.0 |12,66 | mscpb4.txt |   66 |
| 1 |  400 | 5000 |   40 |       0.45 |1585376808380 |      79 |    87.0 |10,13 | mscpb4.txt |   92 |
| 1 |  500 | 5000 |   40 |       0.45 |1585376808380 |      79 |    85.0 | 7,59 | mscpb4.txt |1,2e+02 |
| 1 |  600 | 5000 |   45 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |1,5e+02 |
| 1 |  700 | 5000 |   45 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |1,9e+02 |
| 1 |  800 | 5000 |   45 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |2,1e+02 |
| 1 |  900 | 5000 |   45 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |2,3e+02 |
| 1 | 1000 | 5000 |   50 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |2,4e+02 |
| 1 | 1100 | 5000 |   50 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |2,6e+02 |
| 1 | 1200 | 5000 |   50 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |2,8e+02 |
| 1 | 1300 | 5000 |   50 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |2,8e+02 |
| 1 | 1400 | 5000 |   55 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |3,0e+02 |
| 1 | 1500 | 5000 |   55 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |3,1e+02 |
| 1 | 1600 | 5000 |   55 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |3,2e+02 |
| 1 | 1700 | 5000 |   55 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |3,3e+02 |
| 1 | 1800 | 5000 |   60 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |3,5e+02 |
| 1 | 1900 | 5000 |   60 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |3,6e+02 |
| 1 | 2000 | 5000 |   60 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |3,8e+02 |
| 1 | 2100 | 5000 |   60 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |3,9e+02 |
| 1 | 2200 | 5000 |   65 |       0.45 |1585376808380 |      79 |    84.0 | 6,33 | mscpb4.txt |4,0e+02 |
