| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1585385008859 |     265 |   348.0 |31,32 |mscp510.txt |0,098 |
| 1 |  100 | 5000 |   35 |       0.45 |1585385008859 |     265 |   294.0 |10,94 |mscp510.txt |  8,3 |
| 1 |  200 | 5000 |   35 | 0.42857143 |1585385008859 |     265 |   294.0 |10,94 |mscp510.txt |   17 |
| 1 |  300 | 5000 |   40 |      0.325 |1585385008859 |     265 |   268.0 | 1,13 |mscp510.txt |   27 |
| 1 |  400 | 5000 |   40 |        0.4 |1585385008859 |     265 |   266.0 | 0,38 |mscp510.txt |   38 |
| 1 |  200 | 5000 |   40 |        0.4 |1585385008859 |     265 |   265.0 | 0,00 |mscp510.txt |   39 |
| 2 |    1 | 5000 |   35 |       0.25 |1585385048108 |     265 |   359.0 |35,47 |mscp510.txt | 0,11 |
| 2 |  100 | 5000 |   35 |        0.4 |1585385048108 |     265 |   295.0 |11,32 |mscp510.txt |  8,0 |
| 2 |  200 | 5000 |   35 | 0.31428573 |1585385048108 |     265 |   285.0 | 7,55 |mscp510.txt |   16 |
| 2 |  300 | 5000 |   35 |        0.4 |1585385048108 |     265 |   280.0 | 5,66 |mscp510.txt |   24 |
| 2 |  400 | 5000 |   40 |        0.4 |1585385048108 |     265 |   273.0 | 3,02 |mscp510.txt |   36 |
| 2 |  500 | 5000 |   40 |      0.375 |1585385048108 |     265 |   273.0 | 3,02 |mscp510.txt |   47 |
| 2 |  600 | 5000 |   40 |      0.325 |1585385048108 |     265 |   268.0 | 1,13 |mscp510.txt |   57 |
| 2 |  700 | 5000 |   40 |      0.275 |1585385048108 |     265 |   268.0 | 1,13 |mscp510.txt |   67 |
| 2 |  800 | 5000 |   45 | 0.37777779 |1585385048108 |     265 |   268.0 | 1,13 |mscp510.txt |   78 |
| 2 |  900 | 5000 |   45 | 0.35555556 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |   90 |
| 2 | 1000 | 5000 |   45 | 0.35555556 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |1,0e+02 |
| 2 | 1100 | 5000 |   45 |        0.4 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |1,1e+02 |
| 2 | 1200 | 5000 |   45 |        0.4 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |1,2e+02 |
| 2 | 1300 | 5000 |   50 |       0.36 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |1,4e+02 |
| 2 | 1400 | 5000 |   50 |       0.36 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |1,5e+02 |
| 2 | 1500 | 5000 |   50 |       0.36 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |1,6e+02 |
| 2 | 1600 | 5000 |   50 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |1,7e+02 |
| 2 | 1700 | 5000 |   55 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |1,9e+02 |
| 2 | 1800 | 5000 |   55 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |2,0e+02 |
| 2 | 1900 | 5000 |   55 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |2,1e+02 |
| 2 | 2000 | 5000 |   55 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |2,3e+02 |
| 2 | 2100 | 5000 |   60 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |2,4e+02 |
| 2 | 2200 | 5000 |   60 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |2,6e+02 |
| 2 | 2300 | 5000 |   60 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |2,7e+02 |
| 2 | 2400 | 5000 |   60 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |2,8e+02 |
| 2 | 2500 | 5000 |   65 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |3,0e+02 |
| 2 | 2600 | 5000 |   65 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |3,2e+02 |
| 2 | 2700 | 5000 |   65 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |3,3e+02 |
| 2 | 2800 | 5000 |   65 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |3,5e+02 |
| 2 | 2900 | 5000 |   70 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |3,7e+02 |
| 2 | 3000 | 5000 |   70 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |3,8e+02 |
| 2 | 3100 | 5000 |   70 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |4,0e+02 |
| 2 | 3200 | 5000 |   70 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |4,2e+02 |
| 2 | 3300 | 5000 |   75 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |4,4e+02 |
| 2 | 3400 | 5000 |   75 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |4,5e+02 |
| 2 | 3500 | 5000 |   75 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |4,7e+02 |
| 2 | 3600 | 5000 |   75 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |4,9e+02 |
| 2 | 3700 | 5000 |   80 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |5,1e+02 |
| 2 | 3800 | 5000 |   80 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |5,3e+02 |
| 2 | 3900 | 5000 |   80 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |5,5e+02 |
| 2 | 4000 | 5000 |   80 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |5,7e+02 |
| 2 | 4100 | 5000 |   85 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |5,9e+02 |
| 2 | 4200 | 5000 |   85 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |6,1e+02 |
| 2 | 4300 | 5000 |   85 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |6,3e+02 |
| 2 | 4400 | 5000 |   85 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |6,5e+02 |
| 2 | 4500 | 5000 |   90 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |6,7e+02 |
| 2 | 4600 | 5000 |   90 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |6,9e+02 |
| 2 | 4700 | 5000 |   90 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |7,2e+02 |
| 2 | 4800 | 5000 |   90 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |7,4e+02 |
| 2 | 4900 | 5000 |   95 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |7,6e+02 |
| 2 | 5000 | 5000 |   95 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |7,8e+02 |
| 2 |  200 | 5000 |   95 |       0.45 |1585385048108 |     265 |   267.0 | 0,75 |mscp510.txt |7,8e+02 |
| 3 |    1 | 5000 |   35 |       0.25 |1585385832560 |     265 |   351.0 |32,45 |mscp510.txt |0,089 |
| 3 |  100 | 5000 |   35 |       0.45 |1585385832560 |     265 |   309.0 |16,60 |mscp510.txt |  8,3 |
| 3 |  200 | 5000 |   35 | 0.42857143 |1585385832560 |     265 |   291.0 | 9,81 |mscp510.txt |   16 |
| 3 |  300 | 5000 |   40 |       0.45 |1585385832560 |     265 |   272.0 | 2,64 |mscp510.txt |   26 |
| 3 |  400 | 5000 |   40 |        0.4 |1585385832560 |     265 |   269.0 | 1,51 |mscp510.txt |   36 |
| 3 |  500 | 5000 |   40 |      0.225 |1585385832560 |     265 |   269.0 | 1,51 |mscp510.txt |   47 |
| 3 |  200 | 5000 |   40 |      0.225 |1585385832560 |     265 |   265.0 | 0,00 |mscp510.txt |   48 |
| 4 |    1 | 5000 |   35 |       0.25 |1585385880685 |     265 |   360.0 |35,85 |mscp510.txt | 0,10 |
| 4 |  100 | 5000 |   35 | 0.42857143 |1585385880685 |     265 |   308.0 |16,23 |mscp510.txt |  8,5 |
| 4 |  200 | 5000 |   40 |        0.3 |1585385880685 |     265 |   272.0 | 2,64 |mscp510.txt |   18 |
| 4 |  200 | 5000 |   40 |        0.3 |1585385880685 |     265 |   265.0 | 0,00 |mscp510.txt |   26 |
| 5 |    1 | 5000 |   35 |       0.25 |1585385906731 |     265 |   376.0 |41,89 |mscp510.txt | 0,13 |
| 5 |  100 | 5000 |   35 | 0.25714287 |1585385906731 |     265 |   297.0 |12,08 |mscp510.txt |  7,9 |
| 5 |  200 | 5000 |   35 |        0.4 |1585385906731 |     265 |   297.0 |12,08 |mscp510.txt |   16 |
| 5 |  300 | 5000 |   35 |       0.45 |1585385906731 |     265 |   283.0 | 6,79 |mscp510.txt |   25 |
| 5 |  400 | 5000 |   40 |      0.425 |1585385906731 |     265 |   277.0 | 4,53 |mscp510.txt |   36 |
| 5 |  500 | 5000 |   40 |       0.45 |1585385906731 |     265 |   272.0 | 2,64 |mscp510.txt |   46 |
| 5 |  600 | 5000 |   40 |      0.375 |1585385906731 |     265 |   270.0 | 1,89 |mscp510.txt |   56 |
| 5 |  700 | 5000 |   40 |      0.375 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |   66 |
| 5 |  800 | 5000 |   45 | 0.33333334 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |   77 |
| 5 |  900 | 5000 |   45 |        0.4 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |   89 |
| 5 | 1000 | 5000 |   45 | 0.33333334 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |1,0e+02 |
| 5 | 1100 | 5000 |   45 | 0.44444445 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |1,1e+02 |
| 5 | 1200 | 5000 |   50 |        0.4 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |1,2e+02 |
| 5 | 1300 | 5000 |   50 |        0.4 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |1,4e+02 |
| 5 | 1400 | 5000 |   50 |        0.4 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |1,5e+02 |
| 5 | 1500 | 5000 |   50 |        0.4 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |1,6e+02 |
| 5 | 1600 | 5000 |   55 | 0.38181818 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |1,8e+02 |
| 5 | 1700 | 5000 |   55 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |1,9e+02 |
| 5 | 1800 | 5000 |   55 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |2,0e+02 |
| 5 | 1900 | 5000 |   55 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |2,2e+02 |
| 5 | 2000 | 5000 |   60 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |2,3e+02 |
| 5 | 2100 | 5000 |   60 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |2,5e+02 |
| 5 | 2200 | 5000 |   60 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |2,6e+02 |
| 5 | 2300 | 5000 |   60 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |2,8e+02 |
| 5 | 2400 | 5000 |   65 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |2,9e+02 |
| 5 | 2500 | 5000 |   65 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |3,1e+02 |
| 5 | 2600 | 5000 |   65 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |3,3e+02 |
| 5 | 2700 | 5000 |   65 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |3,4e+02 |
| 5 | 2800 | 5000 |   70 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |3,6e+02 |
| 5 | 2900 | 5000 |   70 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |3,8e+02 |
| 5 | 3000 | 5000 |   70 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |4,0e+02 |
| 5 | 3100 | 5000 |   70 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |4,1e+02 |
| 5 | 3200 | 5000 |   75 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |4,3e+02 |
| 5 | 3300 | 5000 |   75 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |4,5e+02 |
| 5 | 3400 | 5000 |   75 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |4,6e+02 |
| 5 | 3500 | 5000 |   75 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |4,8e+02 |
| 5 | 3600 | 5000 |   80 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |5,0e+02 |
| 5 | 3700 | 5000 |   80 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |5,2e+02 |
| 5 | 3800 | 5000 |   80 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |5,4e+02 |
| 5 | 3900 | 5000 |   80 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |5,6e+02 |
| 5 | 4000 | 5000 |   85 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |5,8e+02 |
| 5 | 4100 | 5000 |   85 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |6,0e+02 |
| 5 | 4200 | 5000 |   85 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |6,2e+02 |
| 5 | 4300 | 5000 |   85 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |6,4e+02 |
| 5 | 4400 | 5000 |   90 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |6,6e+02 |
| 5 | 4500 | 5000 |   90 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |6,8e+02 |
| 5 | 4600 | 5000 |   90 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |7,1e+02 |
| 5 | 4700 | 5000 |   90 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |7,3e+02 |
| 5 | 4800 | 5000 |   95 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |7,5e+02 |
| 5 | 4900 | 5000 |   95 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |7,7e+02 |
| 5 | 5000 | 5000 |   95 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |7,9e+02 |
| 5 |  200 | 5000 |   95 |       0.45 |1585385906731 |     265 |   267.0 | 0,75 |mscp510.txt |7,9e+02 |
| 6 |    1 | 5000 |   35 |       0.25 |1585386701709 |     265 |   360.0 |35,85 |mscp510.txt |0,081 |
| 6 |  100 | 5000 |   35 | 0.42857143 |1585386701709 |     265 |   304.0 |14,72 |mscp510.txt |  8,6 |
| 6 |  200 | 5000 |   40 |       0.45 |1585386701709 |     265 |   276.0 | 4,15 |mscp510.txt |   18 |
| 6 |  300 | 5000 |   40 |        0.3 |1585386701709 |     265 |   272.0 | 2,64 |mscp510.txt |   29 |
| 6 |  400 | 5000 |   40 |        0.3 |1585386701709 |     265 |   270.0 | 1,89 |mscp510.txt |   39 |
| 6 |  500 | 5000 |   40 |       0.25 |1585386701709 |     265 |   270.0 | 1,89 |mscp510.txt |   51 |
| 6 |  600 | 5000 |   45 |  0.2888889 |1585386701709 |     265 |   270.0 | 1,89 |mscp510.txt |   62 |
| 6 |  700 | 5000 |   45 | 0.31111112 |1585386701709 |     265 |   270.0 | 1,89 |mscp510.txt |   74 |
| 6 |  800 | 5000 |   45 | 0.35555556 |1585386701709 |     265 |   269.0 | 1,51 |mscp510.txt |   86 |
| 6 |  900 | 5000 |   45 | 0.31111112 |1585386701709 |     265 |   267.0 | 0,75 |mscp510.txt |   98 |
| 6 | 1000 | 5000 |   50 |       0.32 |1585386701709 |     265 |   267.0 | 0,75 |mscp510.txt |1,1e+02 |
| 6 | 1100 | 5000 |   50 |       0.34 |1585386701709 |     265 |   267.0 | 0,75 |mscp510.txt |1,3e+02 |
| 6 | 1200 | 5000 |   50 |       0.32 |1585386701709 |     265 |   267.0 | 0,75 |mscp510.txt |1,4e+02 |
