| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1585432598358 |     234 |   360.0 |53,85 | mscpa4.txt | 0,19 |
| 1 |  100 | 5000 |   35 |  0.2857143 |1585432598358 |     234 |   306.0 |30,77 | mscpa4.txt |   22 |
| 1 |  200 | 5000 |   40 |      0.425 |1585432598358 |     234 |   245.0 | 4,70 | mscpa4.txt |   47 |
| 1 |  300 | 5000 |   40 |      0.225 |1585432598358 |     234 |   241.0 | 2,99 | mscpa4.txt |   76 |
| 1 |  400 | 5000 |   40 |        0.3 |1585432598358 |     234 |   241.0 | 2,99 | mscpa4.txt |1,0e+02 |
| 1 |  500 | 5000 |   40 |      0.125 |1585432598358 |     234 |   239.0 | 2,14 | mscpa4.txt |1,3e+02 |
| 1 |  600 | 5000 |   45 | 0.37777779 |1585432598358 |     234 |   238.0 | 1,71 | mscpa4.txt |1,7e+02 |
| 1 |  700 | 5000 |   45 | 0.33333334 |1585432598358 |     234 |   238.0 | 1,71 | mscpa4.txt |2,0e+02 |
| 1 |  800 | 5000 |   45 |       0.45 |1585432598358 |     234 |   237.0 | 1,28 | mscpa4.txt |2,3e+02 |
| 1 |  900 | 5000 |   45 | 0.44444445 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |2,7e+02 |
| 1 | 1000 | 5000 |   50 |       0.44 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |3,1e+02 |
| 1 | 1100 | 5000 |   50 |       0.45 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |3,4e+02 |
| 1 | 1200 | 5000 |   50 |       0.45 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |3,8e+02 |
| 1 | 1300 | 5000 |   50 |       0.44 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |4,2e+02 |
| 1 | 1400 | 5000 |   55 |       0.45 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |4,7e+02 |
| 1 | 1500 | 5000 |   55 |       0.45 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |5,0e+02 |
| 1 | 1600 | 5000 |   55 |       0.45 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |5,4e+02 |
| 1 | 1700 | 5000 |   55 |       0.45 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |5,8e+02 |
| 1 | 1800 | 5000 |   60 | 0.43333334 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |6,3e+02 |
| 1 | 1900 | 5000 |   60 |       0.45 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |6,7e+02 |
| 1 | 2000 | 5000 |   60 |       0.45 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |7,1e+02 |
| 1 | 2100 | 5000 |   60 |       0.45 |1585432598358 |     234 |   236.0 | 0,85 | mscpa4.txt |7,5e+02 |
