| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1585461946771 |      61 |  2506.0 |4008,20 | mscpd5.txt |0,011 |
| 1 |  100 | 5000 |   35 |        0.4 |1585461946771 |      61 |  1988.0 |3159,02 | mscpd5.txt | 0,89 |
| 1 |  200 | 5000 |   35 |       0.45 |1585461946771 |      61 |  1846.0 |2926,23 | mscpd5.txt |  1,7 |
| 1 |  300 | 5000 |   35 |        0.4 |1585461946771 |      61 |  1749.0 |2767,21 | mscpd5.txt |  2,6 |
| 1 |  400 | 5000 |   40 |       0.45 |1585461946771 |      61 |    66.0 | 8,20 | mscpd5.txt |   49 |
| 1 |  500 | 5000 |   40 |       0.45 |1585461946771 |      61 |    64.0 | 4,92 | mscpd5.txt |1,1e+02 |
| 1 |  600 | 5000 |   40 |       0.45 |1585461946771 |      61 |    64.0 | 4,92 | mscpd5.txt |1,6e+02 |
| 1 |  700 | 5000 |   40 |       0.45 |1585461946771 |      61 |    64.0 | 4,92 | mscpd5.txt |2,2e+02 |
| 1 |  800 | 5000 |   45 |       0.45 |1585461946771 |      61 |    64.0 | 4,92 | mscpd5.txt |2,9e+02 |
| 1 |  900 | 5000 |   45 |       0.45 |1585461946771 |      61 |    64.0 | 4,92 | mscpd5.txt |3,4e+02 |
| 1 | 1000 | 5000 |   45 |       0.45 |1585461946771 |      61 |    64.0 | 4,92 | mscpd5.txt |3,7e+02 |
| 1 | 1100 | 5000 |   45 |       0.45 |1585461946771 |      61 |    64.0 | 4,92 | mscpd5.txt |4,0e+02 |
| 1 | 1200 | 5000 |   50 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |4,4e+02 |
| 1 | 1300 | 5000 |   50 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |4,8e+02 |
| 1 | 1400 | 5000 |   50 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |5,2e+02 |
| 1 | 1500 | 5000 |   50 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |5,6e+02 |
| 1 | 1600 | 5000 |   55 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |6,1e+02 |
| 1 | 1700 | 5000 |   55 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |6,4e+02 |
| 1 | 1800 | 5000 |   55 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |6,7e+02 |
| 1 | 1900 | 5000 |   55 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |7,1e+02 |
| 1 | 2000 | 5000 |   60 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |7,5e+02 |
| 1 | 2100 | 5000 |   60 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |7,9e+02 |
| 1 | 2200 | 5000 |   60 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |8,3e+02 |
| 1 | 2300 | 5000 |   60 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |8,7e+02 |
| 1 | 2400 | 5000 |   65 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |9,1e+02 |
| 1 | 2500 | 5000 |   65 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |9,4e+02 |
| 1 | 2600 | 5000 |   65 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |9,7e+02 |
| 1 | 2700 | 5000 |   65 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |1,0e+03 |
| 1 | 2800 | 5000 |   70 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |1,1e+03 |
| 1 | 2900 | 5000 |   70 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |1,1e+03 |
| 1 | 3000 | 5000 |   70 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |1,1e+03 |
| 1 | 3100 | 5000 |   70 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |1,1e+03 |
| 1 | 3200 | 5000 |   75 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |1,2e+03 |
| 1 | 3300 | 5000 |   75 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |1,2e+03 |
| 1 | 3400 | 5000 |   75 |       0.45 |1585461946771 |      61 |    63.0 | 3,28 | mscpd5.txt |1,2e+03 |
