| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   35 |       0.25 |1586459790465 |      63 | 19430.0 |30741,27 |mscpnrh2.txt |0,029 |
| 1 |  100 | 5000 |   35 |       0.45 |1586459790465 |      63 | 17743.0 |28063,49 |mscpnrh2.txt |  1,9 |
| 1 |  200 | 5000 |   35 | 0.34285715 |1586459790465 |      63 | 17332.0 |27411,11 |mscpnrh2.txt |  3,7 |
| 1 |  300 | 5000 |   35 | 0.42857143 |1586459790465 |      63 | 16777.0 |26530,16 |mscpnrh2.txt |  5,5 |
| 1 |  400 | 5000 |   35 | 0.34285715 |1586459790465 |      63 | 16338.0 |25833,33 |mscpnrh2.txt |  7,2 |
| 1 |  500 | 5000 |   35 |  0.2857143 |1586459790465 |      63 | 16098.0 |25452,38 |mscpnrh2.txt |  9,1 |
| 1 |  600 | 5000 |   40 |       0.45 |1586459790465 |      63 |    70.0 |11,11 |mscpnrh2.txt |3,7e+02 |
| 1 |  700 | 5000 |   40 |       0.45 |1586459790465 |      63 |    69.0 | 9,52 |mscpnrh2.txt |9,7e+02 |
| 1 |  800 | 5000 |   40 |       0.45 |1586459790465 |      63 |    69.0 | 9,52 |mscpnrh2.txt |1,6e+03 |
| 1 |  900 | 5000 |   40 |       0.45 |1586459790465 |      63 |    69.0 | 9,52 |mscpnrh2.txt |2,2e+03 |
| 1 | 1000 | 5000 |   45 |       0.45 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |2,9e+03 |
| 1 | 1100 | 5000 |   45 |       0.45 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |3,7e+03 |
| 1 | 1200 | 5000 |   45 |       0.45 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |4,5e+03 |
| 1 | 1300 | 5000 |   45 | 0.22222222 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |5,0e+03 |
| 1 | 1400 | 5000 |   50 |       0.24 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |5,6e+03 |
| 1 | 1500 | 5000 |   50 |       0.24 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |6,2e+03 |
| 1 | 1600 | 5000 |   50 |       0.28 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |6,8e+03 |
| 1 | 1700 | 5000 |   50 |       0.28 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |7,5e+03 |
| 1 | 1800 | 5000 |   55 |       0.45 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |8,4e+03 |
| 1 | 1900 | 5000 |   55 |       0.45 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |9,4e+03 |
| 1 | 2000 | 5000 |   55 |       0.45 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,0e+04 |
| 1 | 2100 | 5000 |   55 |       0.45 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,1e+04 |
| 1 | 2200 | 5000 |   60 |       0.45 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,2e+04 |
| 1 | 2300 | 5000 |   60 | 0.38333333 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,3e+04 |
| 1 | 2400 | 5000 |   60 | 0.38333333 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,3e+04 |
| 1 | 2500 | 5000 |   60 | 0.38333333 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,4e+04 |
| 1 | 2600 | 5000 |   65 | 0.35384616 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,4e+04 |
| 1 | 2700 | 5000 |   65 | 0.35384616 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,5e+04 |
| 1 | 2800 | 5000 |   65 | 0.35384616 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,6e+04 |
| 1 | 2900 | 5000 |   65 | 0.35384616 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,6e+04 |
| 1 | 3000 | 5000 |   70 | 0.32857144 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,7e+04 |
| 1 | 3100 | 5000 |   70 | 0.32857144 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,8e+04 |
| 1 | 3200 | 5000 |   70 | 0.32857144 |1586459790465 |      63 |    67.0 | 6,35 |mscpnrh2.txt |1,9e+04 |
